year,imput_new,germ_perc,seedbank,scenario,species
1,100,0.99980595,0.019405046,ambient,P.virginianum
2,100.019405,0.87745043,12.25733508,ambient,P.virginianum
3,112.2573351,0.999050795,0.106555198,ambient,P.virginianum
4,100.1065552,0.663973949,33.63841039,ambient,P.virginianum
5,133.6384104,0.894911704,14.04383277,ambient,P.virginianum
6,114.0438328,0.984718471,1.742764192,ambient,P.virginianum
7,101.7427642,0.98160355,1.871705638,ambient,P.virginianum
8,101.8717056,0.873444193,12.89245596,ambient,P.virginianum
9,112.892456,0.972123223,3.147077791,ambient,P.virginianum
10,103.1470778,0.983307584,1.721773934,ambient,P.virginianum
11,101.7217739,0.957517128,4.32143312,ambient,P.virginianum
12,104.3214331,0.947332468,5.49435237,ambient,P.virginianum
13,105.4943524,0.978734071,2.243435442,ambient,P.virginianum
14,102.2434354,0.934070741,6.740833967,ambient,P.virginianum
15,106.740834,0.991610676,0.895483466,ambient,P.virginianum
16,100.8954835,0.996908121,0.311956599,ambient,P.virginianum
17,100.3119566,0.999719153,0.028172321,ambient,P.virginianum
18,100.0281723,0.987241899,1.27616948,ambient,P.virginianum
19,101.2761695,0.421103684,58.62840145,ambient,P.virginianum
20,158.6284015,0.305335486,110.1935214,ambient,P.virginianum
21,210.1935214,0.995031249,1.04439922,ambient,P.virginianum
22,101.0443992,0.961354934,3.904867439,ambient,P.virginianum
23,103.9048674,0.999765236,0.024393082,ambient,P.virginianum
24,100.0243931,0.703421449,29.6650896,ambient,P.virginianum
25,129.6650896,0.9956831,0.559751181,ambient,P.virginianum
26,100.5597512,0.958842636,4.13877428,ambient,P.virginianum
27,104.1387743,0.03362287,100.6373298,ambient,P.virginianum
28,200.6373298,0.823055365,35.50169902,ambient,P.virginianum
29,135.501699,0.127185932,118.2677892,ambient,P.virginianum
30,218.2677892,0.987947765,2.630614605,ambient,P.virginianum
31,102.6306146,0.997574246,0.248956616,ambient,P.virginianum
32,100.2489566,0.388642401,61.28796145,ambient,P.virginianum
33,161.2879615,0.849772571,24.22987582,ambient,P.virginianum
34,124.2298758,0.982050852,2.229820454,ambient,P.virginianum
35,102.2298205,0.997886766,0.216035493,ambient,P.virginianum
36,100.2160355,0.022416623,97.96953045,ambient,P.virginianum
37,197.9695305,0.992113988,1.56119017,ambient,P.virginianum
38,101.5611902,0.664112328,34.11315174,ambient,P.virginianum
39,134.1131517,0.947693094,7.015044017,ambient,P.virginianum
40,107.015044,0.999492754,0.054283003,ambient,P.virginianum
41,100.054283,0.974292862,2.57210926,ambient,P.virginianum
42,102.5721093,0.877726352,12.54186603,ambient,P.virginianum
43,112.541866,0.991052452,1.006973715,ambient,P.virginianum
44,101.0069737,0.979595337,2.061013276,ambient,P.virginianum
45,102.0610133,0.817413161,18.6349978,ambient,P.virginianum
46,118.6349978,0.924060748,9.009052983,ambient,P.virginianum
47,109.009053,0.982050077,1.956704153,ambient,P.virginianum
48,101.9567042,0.445194255,56.56616518,ambient,P.virginianum
49,156.5661652,0.79507845,32.08378124,ambient,P.virginianum
50,132.0837812,0.997860463,0.282598202,ambient,P.virginianum
51,100.2825982,0.983531609,1.651493041,ambient,P.virginianum
52,101.651493,0.999647369,0.035845428,ambient,P.virginianum
