"","Taxa","plate_num","DAY","germinated","chillweeks","force","censored"
"1","Silene vulgaris",57,2,1,0,5,0
"2","Oenethera biennis",1,3,1,0,5,0
"3","Oenethera biennis",1,3,1,0,5,0
"4","Oenethera biennis",1,3,1,0,5,0
"5","Oenethera biennis",1,3,1,0,5,0
"6","Oenethera biennis",1,3,1,0,5,0
"7","Oenethera biennis",1,3,1,0,5,0
"8","Oenethera biennis",2,3,1,0,5,0
"9","Oenethera biennis",2,3,1,0,5,0
"10","Oenethera biennis",2,3,1,0,5,0
"11","Oenethera biennis",2,3,1,0,5,0
"12","Oenethera biennis",2,3,1,0,5,0
"13","Oenethera biennis",2,3,1,0,5,0
"14","Oenethera biennis",2,3,1,0,5,0
"15","Oenethera biennis",2,3,1,0,5,0
"16","Oenethera biennis",2,3,1,0,5,0
"17","Oenethera biennis",2,3,1,0,5,0
"18","Oenethera biennis",3,3,1,0,5,0
"19","Oenethera biennis",3,3,1,0,5,0
"20","Oenethera biennis",3,3,1,0,5,0
"21","Oenethera biennis",3,3,1,0,5,0
"22","Oenethera biennis",3,3,1,0,5,0
"23","Oenethera biennis",3,3,1,0,5,0
"24","Oenethera biennis",3,3,1,0,5,0
"25","Oenethera biennis",3,3,1,0,5,0
"26","Oenethera biennis",3,3,1,0,5,0
"27","Oenethera biennis",3,3,1,0,5,0
"28","Asclepias syriaca",26,3,1,0,5,0
"29","Silene stellata",53,3,1,0,0,0
"30","Oenethera biennis",1,4,1,0,5,0
"31","Oenethera biennis",1,4,1,0,5,0
"32","Oenethera biennis",2,4,1,0,5,0
"33","Oenethera biennis",2,4,1,0,5,0
"34","Oenethera biennis",2,4,1,0,5,0
"35","Oenethera biennis",3,4,1,0,5,0
"36","Oenethera biennis",3,4,1,0,5,0
"37","Oenethera biennis",5,4,1,0,0,0
"38","Silene stellata",49,4,1,0,5,0
"39","Silene vulgaris",59,4,1,0,0,0
"40","Silene vulgaris",59,4,1,0,0,0
"41","Oenethera biennis",1,7,1,0,5,0
"42","Oenethera biennis",1,7,1,0,5,0
"43","Oenethera biennis",1,7,1,0,5,0
"44","Oenethera biennis",1,7,1,0,5,0
"45","Oenethera biennis",1,7,1,0,5,0
"46","Oenethera biennis",2,7,1,0,5,0
"47","Oenethera biennis",2,7,1,0,5,0
"48","Oenethera biennis",3,7,1,0,5,0
"49","Oenethera biennis",3,7,1,0,5,0
"50","Oenethera biennis",3,7,1,0,5,0
"51","Oenethera biennis",4,7,1,0,0,0
"52","Oenethera biennis",4,7,1,0,0,0
"53","Oenethera biennis",4,7,1,0,0,0
"54","Oenethera biennis",4,7,1,0,0,0
"55","Oenethera biennis",4,7,1,0,0,0
"56","Oenethera biennis",4,7,1,0,0,0
"57","Oenethera biennis",4,7,1,0,0,0
"58","Oenethera biennis",4,7,1,0,0,0
"59","Oenethera biennis",4,7,1,0,0,0
"60","Oenethera biennis",5,7,1,0,0,0
"61","Oenethera biennis",5,7,1,0,0,0
"62","Oenethera biennis",5,7,1,0,0,0
"63","Oenethera biennis",6,7,1,0,0,0
"64","Oenethera biennis",6,7,1,0,0,0
"65","Oenethera biennis",6,7,1,0,0,0
"66","Oenethera biennis",6,7,1,0,0,0
"67","Oenethera biennis",6,7,1,0,0,0
"68","Oenethera biennis",6,7,1,0,0,0
"69","Oenethera biennis",6,7,1,0,0,0
"70","Oenethera biennis",6,7,1,0,0,0
"71","Oenethera biennis",6,7,1,0,0,0
"72","Oenethera biennis",6,7,1,0,0,0
"73","Asclepias syriaca",25,7,1,0,5,0
"74","Asclepias syriaca",25,7,1,0,5,0
"75","Asclepias syriaca",26,7,1,0,5,0
"76","Asclepias syriaca",26,7,1,0,5,0
"77","Asclepias syriaca",27,7,1,0,5,0
"78","Asclepias syriaca",27,7,1,0,5,0
"79","Asclepias syriaca",27,7,1,0,5,0
"80","Asclepias syriaca",27,7,1,0,5,0
"81","Asclepias syriaca",29,7,1,0,0,0
"82","Silene stellata",49,7,1,0,5,0
"83","Silene stellata",51,7,1,0,5,0
"84","Silene stellata",54,7,1,0,0,0
"85","Silene stellata",54,7,1,0,0,0
"86","Silene vulgaris",55,7,1,0,5,0
"87","Silene vulgaris",55,7,1,0,5,0
"88","Silene vulgaris",55,7,1,0,5,0
"89","Silene vulgaris",56,7,1,0,5,0
"90","Silene vulgaris",56,7,1,0,5,0
"91","Silene vulgaris",56,7,1,0,5,0
"92","Silene vulgaris",57,7,1,0,5,0
"93","Silene vulgaris",57,7,1,0,5,0
"94","Silene vulgaris",57,7,1,0,5,0
"95","Silene vulgaris",58,7,1,0,0,0
"96","Silene vulgaris",58,7,1,0,0,0
"97","Silene vulgaris",58,7,1,0,0,0
"98","Silene vulgaris",58,7,1,0,0,0
"99","Silene vulgaris",58,7,1,0,0,0
"100","Silene vulgaris",58,7,1,0,0,0
"101","Silene vulgaris",58,7,1,0,0,0
"102","Silene vulgaris",58,7,1,0,0,0
"103","Silene vulgaris",59,7,1,0,0,0
"104","Silene vulgaris",59,7,1,0,0,0
"105","Silene vulgaris",59,7,1,0,0,0
"106","Silene vulgaris",59,7,1,0,0,0
"107","Silene vulgaris",59,7,1,0,0,0
"108","Silene vulgaris",59,7,1,0,0,0
"109","Silene vulgaris",59,7,1,0,0,0
"110","Silene vulgaris",59,7,1,0,0,0
"111","Silene vulgaris",60,7,1,0,0,0
"112","Silene vulgaris",60,7,1,0,0,0
"113","Silene vulgaris",60,7,1,0,0,0
"114","Silene vulgaris",60,7,1,0,0,0
"115","Silene vulgaris",60,7,1,0,0,0
"116","Silene vulgaris",60,7,1,0,0,0
"117","Silene vulgaris",60,7,1,0,0,0
"118","Silene vulgaris",60,7,1,0,0,0
"119","Silene vulgaris",60,7,1,0,0,0
"120","Silene vulgaris",60,7,1,0,0,0
"121","Eurbia diviricata",61,7,1,0,5,0
"122","Oenethera biennis",1,9,1,0,5,0
"123","Oenethera biennis",3,9,1,0,5,0
"124","Oenethera biennis",3,9,1,0,5,0
"125","Oenethera biennis",4,9,1,0,0,0
"126","Oenethera biennis",6,9,1,0,0,0
"127","Asclepias syriaca",25,9,1,0,5,0
"128","Asclepias syriaca",25,9,1,0,5,0
"129","Asclepias syriaca",25,9,1,0,5,0
"130","Asclepias syriaca",27,9,1,0,5,0
"131","Asclepias syriaca",27,9,1,0,5,0
"132","Asclepias syriaca",27,9,1,0,5,0
"133","Asclepias syriaca",27,9,1,0,5,0
"134","Asclepias syriaca",28,9,1,0,0,0
"135","Asclepias syriaca",29,9,1,0,0,0
"136","Asclepias syriaca",29,9,1,0,0,0
"137","Asclepias syriaca",29,9,1,0,0,0
"138","Silene stellata",50,9,1,0,5,0
"139","Silene vulgaris",55,9,1,0,5,0
"140","Silene vulgaris",56,9,1,0,5,0
"141","Silene vulgaris",56,9,1,0,5,0
"142","Silene vulgaris",56,9,1,0,5,0
"143","Silene vulgaris",56,9,1,0,5,0
"144","Silene vulgaris",58,9,1,0,0,0
"145","Silene vulgaris",58,9,1,0,0,0
"146","Silene vulgaris",58,9,1,0,0,0
"147","Silene vulgaris",58,9,1,0,0,0
"148","Silene vulgaris",58,9,1,0,0,0
"149","Silene vulgaris",59,9,1,0,0,0
"150","Silene vulgaris",59,9,1,0,0,0
"151","Silene vulgaris",59,9,1,0,0,0
"152","Silene vulgaris",59,9,1,0,0,0
"153","Silene vulgaris",59,9,1,0,0,0
"154","Silene vulgaris",60,9,1,0,0,0
"155","Silene vulgaris",60,9,1,0,0,0
"156","Silene vulgaris",60,9,1,0,0,0
"157","Silene vulgaris",60,9,1,0,0,0
"158","Silene vulgaris",60,9,1,0,0,0
"159","Anemone virginana",75,9,1,0,5,0
"160","Oenethera biennis",1,11,1,0,5,0
"161","Cryptotaenia canadensis",9,11,1,0,5,0
"162","Asclepias syriaca",25,11,1,0,5,0
"163","Asclepias syriaca",25,11,1,0,5,0
"164","Asclepias syriaca",25,11,1,0,5,0
"165","Asclepias syriaca",25,11,1,0,5,0
"166","Asclepias syriaca",25,11,1,0,5,0
"167","Asclepias syriaca",25,11,1,0,5,0
"168","Asclepias syriaca",25,11,1,0,5,0
"169","Asclepias syriaca",26,11,1,0,5,0
"170","Asclepias syriaca",27,11,1,0,5,0
"171","Asclepias syriaca",27,11,1,0,5,0
"172","Asclepias syriaca",30,11,1,0,0,0
"173","Silene vulgaris",55,11,1,0,5,0
"174","Silene vulgaris",56,11,1,0,5,0
"175","Silene vulgaris",56,11,1,0,5,0
"176","Silene vulgaris",57,11,1,0,5,0
"177","Silene vulgaris",57,11,1,0,5,0
"178","Silene vulgaris",58,11,1,0,0,0
"179","Silene vulgaris",59,11,1,0,0,0
"180","Silene vulgaris",59,11,1,0,0,0
"181","Silene vulgaris",59,11,1,0,0,0
"182","Silene vulgaris",60,11,1,0,0,0
"183","Eurbia diviricata",62,11,1,0,5,0
"184","Anemone virginana",73,11,1,0,5,0
"185","Anemone virginana",73,11,1,0,5,0
"186","Anemone virginana",73,11,1,0,5,0
"187","Anemone virginana",73,11,1,0,5,0
"188","Anemone virginana",74,11,1,0,5,0
"189","Anemone virginana",74,11,1,0,5,0
"190","Anemone virginana",74,11,1,0,5,0
"191","Anemone virginana",74,11,1,0,5,0
"192","Anemone virginana",74,11,1,0,5,0
"193","Anemone virginana",75,11,1,0,5,0
"194","Anemone virginana",75,11,1,0,5,0
"195","Anemone virginana",75,11,1,0,5,0
"196","Anemone virginana",75,11,1,0,5,0
"197","Anemone virginana",75,11,1,0,5,0
"198","Asclepias syriaca",25,13,1,0,5,0
"199","Asclepias syriaca",27,13,1,0,5,0
"200","Asclepias syriaca",29,13,1,0,0,0
"201","Silene stellata",49,13,1,0,5,0
"202","Silene vulgaris",57,13,1,0,5,0
"203","Silene vulgaris",59,13,1,0,0,0
"204","Silene vulgaris",59,13,1,0,0,0
"205","Silene vulgaris",60,13,1,0,0,0
"206","Eurbia diviricata",62,13,1,0,5,0
"207","Anemone virginana",73,13,1,0,5,0
"208","Anemone virginana",73,13,1,0,5,0
"209","Anemone virginana",73,13,1,0,5,0
"210","Anemone virginana",73,13,1,0,5,0
"211","Anemone virginana",73,13,1,0,5,0
"212","Anemone virginana",73,13,1,0,5,0
"213","Anemone virginana",73,13,1,0,5,0
"214","Anemone virginana",73,13,1,0,5,0
"215","Anemone virginana",73,13,1,0,5,0
"216","Anemone virginana",73,13,1,0,5,0
"217","Anemone virginana",74,13,1,0,5,0
"218","Anemone virginana",74,13,1,0,5,0
"219","Anemone virginana",74,13,1,0,5,0
"220","Anemone virginana",75,13,1,0,5,0
"221","Anemone virginana",75,13,1,0,5,0
"222","Anemone virginana",75,13,1,0,5,0
"223","Anemone virginana",76,13,1,0,0,0
"224","Anemone virginana",77,13,1,0,0,0
"225","Anemone virginana",77,13,1,0,0,0
"226","Anemone virginana",77,13,1,0,0,0
"227","Anemone virginana",78,13,1,0,0,0
"228","Oenethera biennis",4,16,1,0,0,0
"229","Oenethera biennis",4,16,1,0,0,0
"230","Cryptotaenia canadensis",9,16,1,0,5,0
"231","Cryptotaenia canadensis",9,16,1,0,5,0
"232","Asclepias syriaca",27,16,1,0,5,0
"233","Asclepias syriaca",28,16,1,0,0,0
"234","Asclepias syriaca",28,16,1,0,0,0
"235","Asclepias syriaca",28,16,1,0,0,0
"236","Asclepias syriaca",28,16,1,0,0,0
"237","Asclepias syriaca",28,16,1,0,0,0
"238","Carex grayi",33,16,1,0,5,0
"239","Silene stellata",53,16,1,0,0,0
"240","Silene vulgaris",56,16,1,0,5,0
"241","Silene vulgaris",56,16,1,0,5,0
"242","Silene vulgaris",57,16,1,0,5,0
"243","Eurbia diviricata",64,16,1,0,0,0
"244","Eurbia diviricata",65,16,1,0,0,0
"245","Anemone virginana",73,16,1,0,5,0
"246","Anemone virginana",73,16,1,0,5,0
"247","Anemone virginana",74,16,1,0,5,0
"248","Anemone virginana",74,16,1,0,5,0
"249","Anemone virginana",74,16,1,0,5,0
"250","Anemone virginana",74,16,1,0,5,0
"251","Anemone virginana",74,16,1,0,5,0
"252","Anemone virginana",74,16,1,0,5,0
"253","Anemone virginana",75,16,1,0,5,0
"254","Anemone virginana",75,16,1,0,5,0
"255","Anemone virginana",75,16,1,0,5,0
"256","Anemone virginana",75,16,1,0,5,0
"257","Anemone virginana",75,16,1,0,5,0
"258","Anemone virginana",76,16,1,0,0,0
"259","Anemone virginana",76,16,1,0,0,0
"260","Anemone virginana",76,16,1,0,0,0
"261","Anemone virginana",77,16,1,0,0,0
"262","Anemone virginana",77,16,1,0,0,0
"263","Anemone virginana",77,16,1,0,0,0
"264","Anemone virginana",77,16,1,0,0,0
"265","Anemone virginana",77,16,1,0,0,0
"266","Anemone virginana",78,16,1,0,0,0
"267","Anemone virginana",78,16,1,0,0,0
"268","Anemone virginana",78,16,1,0,0,0
"269","Anemone virginana",78,16,1,0,0,0
"270","Anemone virginana",78,16,1,0,0,0
"271","Cryptotaenia canadensis",9,18,1,0,5,0
"272","Asclepias syriaca",28,18,1,0,0,0
"273","Asclepias syriaca",28,18,1,0,0,0
"274","Asclepias syriaca",29,18,1,0,0,0
"275","Silene vulgaris",55,18,1,0,5,0
"276","Silene vulgaris",56,18,1,0,5,0
"277","Anemone virginana",73,18,1,0,5,0
"278","Anemone virginana",74,18,1,0,5,0
"279","Anemone virginana",74,18,1,0,5,0
"280","Anemone virginana",74,18,1,0,5,0
"281","Anemone virginana",74,18,1,0,5,0
"282","Anemone virginana",75,18,1,0,5,0
"283","Anemone virginana",76,18,1,0,0,0
"284","Anemone virginana",76,18,1,0,0,0
"285","Anemone virginana",76,18,1,0,0,0
"286","Anemone virginana",76,18,1,0,0,0
"287","Anemone virginana",77,18,1,0,0,0
"288","Anemone virginana",77,18,1,0,0,0
"289","Anemone virginana",77,18,1,0,0,0
"290","Anemone virginana",77,18,1,0,0,0
"291","Anemone virginana",77,18,1,0,0,0
"292","Anemone virginana",78,18,1,0,0,0
"293","Anemone virginana",78,18,1,0,0,0
"294","Anemone virginana",78,18,1,0,0,0
"295","Anemone virginana",78,18,1,0,0,0
"296","Asclepias syriaca",30,20,1,0,0,0
"297","Asclepias syriaca",30,20,1,0,0,0
"298","Silene stellata",50,20,1,0,5,0
"299","Silene stellata",51,20,1,0,5,0
"300","Silene vulgaris",55,20,1,0,5,0
"301","Silene vulgaris",55,20,1,0,5,0
"302","Silene vulgaris",56,20,1,0,5,0
"303","Eurbia diviricata",64,20,1,0,0,0
"304","Eurbia diviricata",65,20,1,0,0,0
"305","Anemone virginana",75,20,1,0,5,0
"306","Anemone virginana",76,20,1,0,0,0
"307","Anemone virginana",76,20,1,0,0,0
"308","Anemone virginana",76,20,1,0,0,0
"309","Anemone virginana",76,20,1,0,0,0
"310","Anemone virginana",78,20,1,0,0,0
"311","Anemone virginana",78,20,1,0,0,0
"312","Silene stellata",52,21,1,0,0,0
"313","Silene stellata",52,21,1,0,0,0
"314","Anemone virginana",73,21,1,0,5,0
"315","Anemone virginana",73,21,1,0,5,0
"316","Anemone virginana",76,21,1,0,0,0
"317","Asclepias syriaca",27,22,1,0,5,0
"318","Asclepias syriaca",27,22,1,0,5,0
"319","Asclepias syriaca",27,22,1,0,5,0
"320","Silene vulgaris",60,22,1,0,0,0
"321","Anemone virginana",75,22,1,0,5,0
"322","Asclepias syriaca",25,24,1,0,5,0
"323","Asclepias syriaca",26,24,1,0,5,0
"324","Asclepias syriaca",30,24,1,0,0,0
"325","Carex grayi",32,24,1,0,5,0
"326","Silene stellata",54,24,1,0,0,0
"327","Silene vulgaris",57,24,1,0,5,0
"328","Eurbia diviricata",61,24,1,0,5,0
"329","Anemone virginana",76,25,1,0,0,0
"330","Anemone virginana",77,25,1,0,0,0
"331","Anemone virginana",77,25,1,0,0,0
"332","Oenethera biennis",87,2,1,2,5,0
"333","Oenethera biennis",87,2,1,2,5,0
"334","Oenethera biennis",87,2,1,2,5,0
"335","Oenethera biennis",88,2,1,2,5,0
"336","Oenethera biennis",88,2,1,2,5,0
"337","Oenethera biennis",89,2,1,2,5,0
"338","Oenethera biennis",89,2,1,2,5,0
"339","Oenethera biennis",89,2,1,2,5,0
"340","Oenethera biennis",89,2,1,2,5,0
"341","Silene vulgaris",466,2,1,2,0,0
"342","Silene vulgaris",466,2,1,2,0,0
"343","Silene vulgaris",467,2,1,2,0,0
"344","Silene vulgaris",469,2,1,2,5,0
"345","Silene vulgaris",469,2,1,2,5,0
"346","Silene vulgaris",469,2,1,2,5,0
"347","Silene vulgaris",469,2,1,2,5,0
"348","Silene vulgaris",471,2,1,2,5,0
"349","Silene stellata",523,2,1,2,5,0
"350","Silene stellata",524,2,1,2,5,0
"351","Oenethera biennis",85,4,1,2,0,0
"352","Oenethera biennis",85,4,1,2,0,0
"353","Oenethera biennis",85,4,1,2,0,0
"354","Oenethera biennis",85,4,1,2,0,0
"355","Oenethera biennis",85,4,1,2,0,0
"356","Oenethera biennis",85,4,1,2,0,0
"357","Oenethera biennis",85,4,1,2,0,0
"358","Oenethera biennis",85,4,1,2,0,0
"359","Oenethera biennis",85,4,1,2,0,0
"360","Oenethera biennis",85,4,1,2,0,0
"361","Oenethera biennis",85,4,1,2,0,0
"362","Oenethera biennis",85,4,1,2,0,0
"363","Oenethera biennis",85,4,1,2,0,0
"364","Oenethera biennis",85,4,1,2,0,0
"365","Oenethera biennis",86,4,1,2,0,0
"366","Oenethera biennis",86,4,1,2,0,0
"367","Oenethera biennis",86,4,1,2,0,0
"368","Oenethera biennis",86,4,1,2,0,0
"369","Oenethera biennis",86,4,1,2,0,0
"370","Oenethera biennis",86,4,1,2,0,0
"371","Oenethera biennis",87,4,1,2,5,0
"372","Oenethera biennis",87,4,1,2,5,0
