"","zero_day","tot_seed","Taxa","INC","COLD","plate_num","viable","chill_germ","mold","adj_total","date","germ_num","day","DAY","germ_perc"
"1","8.27.18",20,"Oenethera biennis","H","O",1,5,0,0,20,2018-08-27,0,239,0,0
"2","8.27.18",20,"Oenethera biennis","H","O",2,3,0,2,18,2018-08-27,0,239,0,0
"3","8.27.18",20,"Oenethera biennis","H","O",3,1,0,0,18,2018-08-27,0,239,0,0
"4","8.27.18",20,"Oenethera biennis","L","O",4,3,0,2,14,2018-08-27,0,239,0,0
"5","8.27.18",20,"Oenethera biennis","L","O",5,8,0,0,12,2018-08-27,0,239,0,0
"6","8.27.18",20,"Oenethera biennis","L","O",6,2,0,0,13,2018-08-27,0,239,0,0
"7","8.27.18",20,"Cryptotaenia canadensis","H","O",7,19,0,0,19,2018-08-27,0,239,0,0
"8","8.27.18",20,"Cryptotaenia canadensis","H","O",8,16,0,2,16,2018-08-27,0,239,0,0
"9","8.27.18",20,"Cryptotaenia canadensis","H","O",9,14,0,1,18,2018-08-27,0,239,0,0
"10","8.27.18",20,"Cryptotaenia canadensis","L","O",10,19,0,0,19,2018-08-27,0,239,0,0
"11","8.27.18",20,"Cryptotaenia canadensis","L","O",11,19,0,2,19,2018-08-27,0,239,0,0
"12","8.27.18",20,"Cryptotaenia canadensis","L","O",12,18,0,0,18,2018-08-27,0,239,0,0
"13","8.27.18",20,"Hesperis matronalis","H","O",13,3,0,0,19,2018-08-27,0,239,0,0
"14","8.27.18",20,"Hesperis matronalis","H","O",14,4,0,0,19,2018-08-27,0,239,0,0
"15","8.27.18",20,"Hesperis matronalis","H","O",15,4,0,0,20,2018-08-27,0,239,0,0
"16","8.27.18",20,"Hesperis matronalis","L","O",16,8,0,0,20,2018-08-27,0,239,0,0
"17","8.27.18",20,"Hesperis matronalis","L","O",17,3,0,0,20,2018-08-27,0,239,0,0
"18","8.27.18",20,"Hesperis matronalis","L","O",18,4,0,0,20,2018-08-27,0,239,0,0
"19","8.27.18",20,"Polygonum virginiatum","H","O",19,15,0,5,15,2018-08-27,0,239,0,0
"20","8.27.18",20,"Polygonum virginiatum","H","O",20,18,0,0,18,2018-08-27,0,239,0,0
"21","8.27.18",20,"Polygonum virginiatum","H","O",21,19,0,1,19,2018-08-27,0,239,0,0
"22","8.27.18",20,"Polygonum virginiatum","L","O",22,20,0,0,20,2018-08-27,0,239,0,0
"23","8.27.18",20,"Polygonum virginiatum","L","O",23,20,0,0,20,2018-08-27,0,239,0,0
"24","8.27.18",20,"Polygonum virginiatum","L","O",24,18,0,2,18,2018-08-27,0,239,0,0
"25","8.27.18",20,"Asclepias syriaca","H","O",25,3,0,1,17,2018-08-27,0,239,0,0
"26","8.27.18",20,"Asclepias syriaca","H","O",26,15,0,0,20,2018-08-27,0,239,0,0
"27","8.27.18",20,"Asclepias syriaca","H","O",27,3,0,0,18,2018-08-27,0,239,0,0
"28","8.27.18",20,"Asclepias syriaca","L","O",28,8,0,0,16,2018-08-27,0,239,0,0
"29","8.27.18",20,"Asclepias syriaca","L","O",29,15,0,0,21,2018-08-27,0,239,0,0
"30","8.27.18",20,"Asclepias syriaca","L","O",30,11,0,0,15,2018-08-27,0,239,0,0
"31","8.27.18",20,"Carex grayi","H","O",31,18,0,0,20,2018-08-27,0,239,0,0
"32","8.27.18",20,"Carex grayi","H","O",32,19,0,0,20,2018-08-27,0,239,0,0
"33","8.27.18",20,"Carex grayi","H","O",33,18,0,1,20,2018-08-27,0,239,0,0
"34","8.27.18",20,"Carex grayi","L","O",34,20,0,0,20,2018-08-27,0,239,0,0
"35","8.27.18",20,"Carex grayi","L","O",35,19,0,1,20,2018-08-27,0,239,0,0
"36","8.27.18",20,"Carex grayi","L","O",36,20,0,0,20,2018-08-27,0,239,0,0
"37","8.27.18",20,"Carex grisea","H","O",37,13,0,0,13,2018-08-27,0,239,0,0
"38","8.27.18",20,"Carex grisea","H","O",38,19,0,1,19,2018-08-27,0,239,0,0
"39","8.27.18",20,"Carex grisea","H","O",39,20,0,0,20,2018-08-27,0,239,0,0
"40","8.27.18",20,"Carex grisea","L","O",40,17,0,0,17,2018-08-27,0,239,0,0
"41","8.27.18",20,"Carex grisea","L","O",41,16,0,0,16,2018-08-27,0,239,0,0
"42","8.27.18",20,"Carex grisea","L","O",42,17,0,2,17,2018-08-27,0,239,0,0
"43","8.27.18",10,"Phlox cuspidata","H","O",43,7,0,0,8,2018-08-27,0,239,0,0
"44","8.27.18",10,"Phlox cuspidata","H","O",44,8,0,1,8,2018-08-27,0,239,0,0
"45","8.27.18",10,"Phlox cuspidata","H","O",45,8,0,0,8,2018-08-27,0,239,0,0
"46","8.27.18",10,"Phlox cuspidata","L","O",46,9,0,0,9,2018-08-27,0,239,0,0
"47","8.27.18",10,"Phlox cuspidata","L","O",47,7,0,0,9,2018-08-27,0,239,0,0
"48","8.27.18",10,"Phlox cuspidata","L","O",48,8,0,0,8,2018-08-27,0,239,0,0
"49","8.27.18",20,"Silene stellata","H","O",49,13,0,0,16,2018-08-27,0,239,0,0
"50","8.27.18",20,"Silene stellata","H","O",50,17,0,0,19,2018-08-27,0,239,0,0
"51","8.27.18",20,"Silene stellata","H","O",51,17,0,0,19,2018-08-27,0,239,0,0
"52","8.27.18",20,"Silene stellata","L","O",52,19,0,0,21,2018-08-27,0,239,0,0
"53","8.27.18",20,"Silene stellata","L","O",53,17,0,0,19,2018-08-27,0,239,0,0
"54","8.27.18",20,"Silene stellata","L","O",54,16,0,0,19,2018-08-27,0,239,0,0
"55","8.27.18",20,"Silene vulgaris","H","O",55,9,0,0,17,2018-08-27,0,239,0,0
"56","8.27.18",20,"Silene vulgaris","H","O",56,5,0,0,18,2018-08-27,0,239,0,0
"57","8.27.18",20,"Silene vulgaris","H","O",57,6,0,0,15,2018-08-27,0,239,0,0
"58","8.27.18",20,"Silene vulgaris","L","O",58,6,0,0,20,2018-08-27,0,239,0,0
"59","8.27.18",20,"Silene vulgaris","L","O",59,0,0,0,20,2018-08-27,0,239,0,0
"60","8.27.18",20,"Silene vulgaris","L","O",60,2,0,0,20,2018-08-27,0,239,0,0
"61","8.27.18",20,"Eurbia diviricata","H","O",61,7,0,8,9,2018-08-27,0,239,0,0
"62","8.27.18",20,"Eurbia diviricata","H","O",62,11,0,5,13,2018-08-27,0,239,0,0
"63","8.27.18",20,"Eurbia diviricata","H","O",63,13,0,0,13,2018-08-27,0,239,0,0
"64","8.27.18",20,"Eurbia diviricata","L","O",64,13,0,5,15,2018-08-27,0,239,0,0
"65","8.27.18",20,"Eurbia diviricata","L","O",65,14,0,2,16,2018-08-27,0,239,0,0
"66","8.27.18",20,"Eurbia diviricata","L","O",66,6,0,10,6,2018-08-27,0,239,0,0
"67","8.27.18",10,"Thalictrum dioicum","H","O",67,1,0,9,1,2018-08-27,0,239,0,0
"68","8.27.18",10,"Thalictrum dioicum","H","O",68,4,0,6,4,2018-08-27,0,239,0,0
"69","8.27.18",10,"Thalictrum dioicum","H","O",69,5,0,5,5,2018-08-27,0,239,0,0
"70","8.27.18",10,"Thalictrum dioicum","L","O",70,9,0,1,9,2018-08-27,0,239,0,0
"71","8.27.18",10,"Thalictrum dioicum","L","O",71,6,0,4,6,2018-08-27,0,239,0,0
"72","8.27.18",10,"Thalictrum dioicum","L","O",72,4,0,6,4,2018-08-27,0,239,0,0
"73","8.27.18",20,"Anemone virginana","H","O",73,1,0,0,20,2018-08-27,0,239,0,0
"74","8.27.18",20,"Anemone virginana","H","O",74,2,0,0,20,2018-08-27,0,239,0,0
"75","8.27.18",20,"Anemone virginana","H","O",75,0,0,0,17,2018-08-27,0,239,0,0
"76","8.27.18",20,"Anemone virginana","L","O",76,3,0,0,17,2018-08-27,0,239,0,0
"77","8.27.18",20,"Anemone virginana","L","O",77,3,0,0,18,2018-08-27,0,239,0,0
"78","8.27.18",20,"Anemone virginana","L","O",78,3,0,0,15,2018-08-27,0,239,0,0
"79","8.27.18",10,"Impatiens capensis","H","O",79,1,0,9,10,2018-08-27,0,239,0,0
"80","8.27.18",10,"Impatiens capensis","H","O",80,0,0,10,10,2018-08-27,0,239,0,0
"81","8.27.18",10,"Impatiens capensis","H","O",81,4,0,8,10,2018-08-27,0,239,0,0
"82","8.27.18",10,"Impatiens capensis","L","O",82,0,0,10,10,2018-08-27,0,239,0,0
"83","8.27.18",10,"Impatiens capensis","L","O",83,0,0,0,10,2018-08-27,0,239,0,0
"84","8.27.18",10,"Impatiens capensis","L","O",84,0,0,0,10,2018-08-27,0,239,0,0
"85","8.27.18",20,"Oenethera biennis","H","O",1,5,0,0,20,2018-08-28,0,240,1,0
"86","8.27.18",20,"Oenethera biennis","H","O",2,3,0,2,18,2018-08-28,0,240,1,0
"87","8.27.18",20,"Oenethera biennis","H","O",3,1,0,0,18,2018-08-28,0,240,1,0
"88","8.27.18",20,"Oenethera biennis","L","O",4,3,0,2,14,2018-08-28,0,240,1,0
"89","8.27.18",20,"Oenethera biennis","L","O",5,8,0,0,12,2018-08-28,0,240,1,0
"90","8.27.18",20,"Oenethera biennis","L","O",6,2,0,0,13,2018-08-28,0,240,1,0
"91","8.27.18",20,"Cryptotaenia canadensis","H","O",7,19,0,0,19,2018-08-28,0,240,1,0
"92","8.27.18",20,"Cryptotaenia canadensis","H","O",8,16,0,2,16,2018-08-28,0,240,1,0
