zero_day,tot_seed,TAXA,INC,COLD,plate_num,9/24/18,9/26/18,9/28/18,9/30/18,10/3/18,10/5/18,10/7/18,10/8/18,10/10/18,10/12/18,10/14/18,10/15/18,10/17/18,10/19/18,viable,chill_germ,mold,adj_total
9/24/18,20,Oenethera biennis,L,B,91,0,,3,7,7,7,7,7,8,8,8,8,8,8,1,,,
9/24/18,20,Oenethera biennis,L,B,92,0,,8,14,14,14,14,14,14,14,14,14,14,14,0,,6,
9/24/18,20,Oenethera biennis,L,B,93,0,,4,12,13,13,15,15,15,15,15,15,15,15,,,2,
9/24/18,20,Oenethera biennis,H,B,94,0,3,9,10,10,10,10,10,10,10,10,10,10,10,,,,
9/24/18,20,Oenethera biennis,H,B,95,0,2,8,9,9,9,9,8,8,8,8,8,8,8,2,,3,
9/24/18,20,Oenethera biennis,H,B,96,0,4,10,10,11,11,11,11,11,12,12,12,12,12,2,,,
9/24/18,20,Asclepias syriaca,L,B,139,0,,,5,11,13,14,16,16,16,16,17,17,18,2,,,20
9/24/18,20,Asclepias syriaca,L,B,140,0,,,8,15,18,18,18,18,18,18,18,18,18,1,,,19
9/24/18,20,Asclepias syriaca,L,B,141,0,,,7,17,18,19,20,20,20,20,20,20,20,1,,,21
9/24/18,20,Asclepias syriaca,H,B,142,0,,7,16,18,18,18,19,19,19,19,19,19,19,,,,
9/24/18,20,Asclepias syriaca,H,B,143,0,,2,14,17,17,17,17,17,17,17,17,17,17,1,,,18
9/24/18,20,Asclepias syriaca,H,B,144,0,,2,10,18,19,19,20,20,20,20,20,20,20,,,,
9/24/18,20,Cryptotaenia canadensis,L,B,187,0,,,,15,18,18,19,19,19,19,19,19,19,1,,1,
9/24/18,20,Cryptotaenia canadensis,L,B,188,0,,,,,4,4,6,6,6,6,6,6,6,14,,,20
9/24/18,20,Cryptotaenia canadensis,L,B,189,0,,,2,2,6,8,8,9,10,10,10,10,10,10,,,20
9/24/18,20,Cryptotaenia canadensis,H,B,190,0,,,3,3,3,3,3,3,3,3,3,3,2,15,,3,
9/24/18,20,Cryptotaenia canadensis,H,B,191,0,,,3,4,5,5,5,6,6,6,6,6,6,15,,1,
9/24/18,20,Cryptotaenia canadensis,H,B,192,0,,,,,1,1,1,1,2,2,2,2,2,15,,3,
9/24/18,20,Eurbia diviricata,L,B,253,0,,,,3,4,4,4,6,6,6,7,8,8,5,,7,
9/24/18,20,Eurbia diviricata,L,B,254,0,,,,1,3,4,4,4,4,7,7,8,9,6,,3,
9/24/18,20,Eurbia diviricata,L,B,255,0,,,2,3,5,5,6,7,7,7,8,8,8,7,,2,
9/24/18,20,Eurbia diviricata,H,B,256,0,,,,1,1,1,2,2,4,4,4,4,4,3,,7,
9/24/18,20,Eurbia diviricata,H,B,257,0,,,,2,3,4,7,7,7,7,8,9,9,4,,5,
9/24/18,20,Eurbia diviricata,H,B,258,0,,,1,1,2,5,6,6,6,6,6,6,6,4,,8,
9/24/18,20,Hesperis matronalis,L,B,307,0,11,17,17,17,17,18,18,18,18,18,18,18,18,2,,,20
9/24/18,20,Hesperis matronalis,L,B,308,0,7,14,14,16,16,17,17,17,17,17,17,17,17,2,,,19
9/24/18,20,Hesperis matronalis,L,B,309,0,10,13,13,14,14,14,14,14,14,14,14,14,14,6,,,20
9/24/18,20,Hesperis matronalis,H,B,310,0,17,18,18,18,18,19,19,19,19,19,19,19,19,,,,19
9/24/18,20,Hesperis matronalis,H,B,311,0,17,18,18,18,18,19,19,19,19,19,19,19,19,,,,19
9/24/18,20,Hesperis matronalis,H,B,312,0,19,20,20,20,20,20,20,20,20,20,20,20,20,,,,20
9/24/18,20,Carex grayi,L,B,355,0,,,,,,,,,,,,,,,,,
9/24/18,20,Carex grayi,L,B,356,0,,,,,,,,,,,,,,,,,
9/24/18,20,Carex grayi,H,B,357,0,,,,,,,,,,2,2,2,2,,,,
9/24/18,20,Carex grayi,H,B,358,0,,,,,,,,1,1,4,4,6,6,,,,
9/24/18,20,Polygonum virginiatum,L,B,385,0,,,,,,,,,,2,2,2,3,17,,,20
9/24/18,20,Polygonum virginiatum,L,B,386,0,,,,1,1,1,1,1,1,2,2,2,4,17,,,21
9/24/18,20,Polygonum virginiatum,L,B,387,0,,,,,,,,,1,1,1,1,1,18,,2,
9/24/18,20,Polygonum virginiatum,H,B,388,0,,1,1,1,1,1,1,1,1,1,1,1,1,18,,1,
9/24/18,20,Polygonum virginiatum,H,B,389,0,,,,,,,,,,,,,,17,,3,
9/24/18,20,Polygonum virginiatum,H,B,390,0,,,,,,,,,,,1,1,1,19,,,20
9/24/18,20,Carex grisea,L,B,431,0,,,,,,,,,,,,,,19,,1,
9/24/18,20,Carex grisea,L,B,432,0,,,,,,,,,,,,,,20,,,20
9/24/18,20,Carex grisea,H,B,433,0,,,,,,,,,,,,,,,,,20
9/24/18,20,Carex grisea,H,B,434,0,,,,,,,,,,,,,1,18,,,19
