zero_day,tot_seed,Taxa,INC,COLD,Plate_num,10/8/18,10/10/18,10/12/18,10/14/18,10/15/18,10/17/18,10/19/18,10/21/18,10/22/18,10/24/18,10/26/18,10/28/18,10/29/18,10/31/18,11/2/18,viable,chill_germ,mold,adj_total
10/8/18,,Oenethera biennis,H,D,103,0,8,12,12,12,12,12,12,12,12,12,12,12,12,12,3,,2,
10/8/18,,Oenethera biennis,H,D,104,0,8,14,16,16,16,16,16,16,16,16,16,16,16,16,2,,,
10/8/18,,Oenethera biennis,H,D,105,0,12,17,17,17,17,17,17,17,17,17,17,17,17,17,1,,1,
10/8/18,,Oenethera biennis,L,D,106,0,,16,16,16,17,18,18,18,18,18,18,18,18,18,1,,1,
10/8/18,,Oenethera biennis,L,D,107,0,,13,14,14,15,15,15,15,15,15,15,15,15,15,1,,3,
10/8/18,,Oenethera biennis,L,D,108,0,1,8,14,15,15,15,15,15,16,16,16,16,16,16,2,,2,
10/8/18,,Asclepias syriaca,H,D,151,0,2,10,16,16,16,17,19,20,20,20,20,20,20,20,,,,
10/8/18,,Asclepias syriaca,H,D,152,0,2,15,20,20,20,20,21,21,21,21,21,21,21,21,,,,
10/8/18,,Asclepias syriaca,H,D,153,0,,13,13,14,20,20,20,20,20,20,20,20,20,20,,,,
10/8/18,,Asclepias syriaca,L,D,154,0,,,3,3,4,8,13,13,14,14,15,15,15,15,3,,2,
10/8/18,,Asclepias syriaca,L,D,155,0,,,,4,8,10,14,17,19,19,19,19,19,19,,,1,
10/8/18,,Asclepias syriaca,L,D,156,0,,,8,15,17,20,20,20,20,20,20,20,20,20,,,,
10/8/18,,Cryptotaenia canadensis,H,D,199,0,,1,2,6,8,8,8,8,8,8,8,8,8,8,11,,1,
10/8/18,,Cryptotaenia canadensis,H,D,200,0,,,,,5,5,5,5,5,6,6,6,6,6,13,,,
10/8/18,,Cryptotaenia canadensis,H,D,201,0,,,,,,,,,,,,,1,1,19,,,
10/8/18,,Cryptotaenia canadensis,L,D,202,0,,,1,8,10,11,12,12,13,13,13,13,13,13,6,,1,
10/8/18,,Cryptotaenia canadensis,L,D,203,0,,1,4,10,11,15,15,15,15,15,15,15,15,15,5,,,20
10/8/18,,Cryptotaenia canadensis,L,D,204,0,,,3,13,15,17,18,18,18,18,18,18,18,18,4,,,22
10/8/18,,Eurbia diviricata,H,D,265,0,,1,4,5,7,7,9,10,11,11,12,12,12,12,6,,2,
10/8/18,,Eurbia diviricata,H,D,266,0,,1,2,2,5,5,6,6,7,8,8,8,8,8,3,,7,
10/8/18,,Eurbia diviricata,H,D,267,0,1,3,4,4,5,6,6,7,7,7,7,7,7,7,8,,4,
