zero_day,tot_seed,Taxa,INC,COLD,Plate_num,11/26/18,11/28/18,11/30/18,12/2/18,12/3/18,12/5/18,12/7/18,12/10/18,12/12/18,12/14/18,12/16/18,12/17/18,12/20/18,12/21/18,viable,chill_germ,mold,adj_total
11/26/18,20,Cryptotaenia canadensis,H,i,229,0,4,7,17,18,18,18,18,18,18,18,18,18,18,2,1,,
11/26/18,20,Cryptotaenia canadensis,H,i,230,0,1,9,10,11,11,11,11,11,11,11,11,11,11,7,1,1,
11/26/18,20,Cryptotaenia canadensis,H,i,231,0,4,12,14,15,15,15,15,15,15,15,15,15,15,5,,,
11/26/18,20,Cryptotaenia canadensis,L,i,232,0,1,8,18,18,18,18,18,18,18,18,18,18,18,,3,,
11/26/18,20,Cryptotaenia canadensis,L,i,233,0,3,9,17,17,17,17,17,17,17,17,17,17,17,,3,,
11/26/18,20,Cryptotaenia canadensis,L,i,234,0,2,13,20,20,20,20,20,20,20,20,20,20,20,,1,,
11/26/18,20,Asclepias syriaca,H,i,235,0,4,16,17,18,19,19,19,19,19,19,19,19,19,,,1,
11/26/18,20,Asclepias syriaca,H,i,236,0,2,15,16,17,19,19,20,20,20,20,20,20,20,,,,
11/26/18,20,Asclepias syriaca,H,i,237,0,1,16,18,19,19,19,19,20,20,20,20,20,20,,,,
11/26/18,20,Asclepias syriaca,L,i,238,0,,3,15,19,20,20,20,20,20,20,20,20,20,,,,
11/26/18,20,Asclepias syriaca,L,i,239,0,,3,15,16,17,17,19,19,20,20,20,20,20,,,,
11/26/18,20,Asclepias syriaca,L,i,240,0,,2,13,15,16,17,19,19,19,19,19,19,19,1,,,
11/26/18,20,Oenethera biennis,H,i,241,0,7,16,16,16,16,16,16,16,16,16,16,16,16,,,4,
11/26/18,20,Oenethera biennis,H,i,242,0,10,14,14,14,14,14,15,15,15,15,15,15,15,,,4,
11/26/18,20,Oenethera biennis,H,i,243,0,11,14,14,14,14,14,14,14,14,14,14,14,14,1,,5,
11/26/18,20,Oenethera biennis,L,i,244,0,,12,14,14,14,14,14,14,14,14,14,14,14,,,4,
11/26/18,20,Oenethera biennis,L,i,245,0,,13,14,14,16,16,16,16,16,16,16,16,16,,,4,
11/26/18,20,Oenethera biennis,L,i,246,0,,10,17,17,17,17,17,17,17,17,17,17,17,,,3,
11/26/18,20,Eurbia diviricata,H,i,295,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,7,7,
11/26/18,20,Eurbia diviricata,H,i,296,0,3,7,10,10,10,10,10,10,10,10,10,10,10,1,5,4,
11/26/18,20,Eurbia diviricata,H,i,297,0,4,8,8,8,8,8,8,8,8,8,8,8,8,4,1,,
11/26/18,20,Eurbia diviricata,L,i,298,0,4,9,10,10,10,10,10,10,10,11,11,11,11,2,4,,
11/26/18,20,Eurbia diviricata,L,i,299,0,4,4,8,8,8,8,8,8,8,8,8,8,8,2,7,4,
11/26/18,20,Eurbia diviricata,L,i,300,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,7,5,
11/26/18,20,Hesperis matronalis,H,i,349,0,11,12,12,12,12,12,12,12,12,12,12,12,12,2,6,,
11/26/18,20,Hesperis matronalis,H,i,350,0,10,10,10,10,10,10,10,10,10,10,10,10,10,2,8,,
11/26/18,20,Hesperis matronalis,H,i,351,0,11,11,12,12,12,12,12,12,12,12,12,12,13,3,4,,
11/26/18,20,Hesperis matronalis,L,i,352,0,9,9,9,9,9,9,9,9,9,9,9,9,9,2,10,,
11/26/18,20,Hesperis matronalis,L,i,353,0,12,14,14,14,14,14,14,14,14,14,14,14,14,2,6,,
11/26/18,20,Hesperis matronalis,L,i,354,0,16,16,17,17,17,17,17,17,17,17,17,17,17,,5,,
11/26/18,20,Carex grayi,H,i,375,0,,,,,,1,1,1,1,1,1,3,6,,,,
11/26/18,20,Carex grayi,H,i,376,0,,,,,,,,,,1,1,1,2,,,,
11/26/18,20,Carex grayi,L,i,377,0,,,,,,,1,1,2,4,4,5,5,,,,
11/26/18,20,Carex grayi,L,i,378,0,,,,,,,,,,,,,,,,,
11/26/18,15,Polygonum virginiatum,H,i,421,0,5,5,5,5,5,7,7,7,7,7,7,7,7,1,6,1,
11/26/18,15,Polygonum virginiatum,H,i,422,0,1,1,3,3,3,3,3,3,3,4,4,4,4,,11,,
11/26/18,15,Polygonum virginiatum,H,i,423,0,1,2,3,3,4,4,4,4,4,4,4,5,5,1,9,,
11/26/18,15,Polygonum virginiatum,L,i,424,0,,4,6,6,6,6,7,7,7,7,7,7,7,1,4,3,
11/26/18,15,Polygonum virginiatum,L,i,425,0,2,4,5,7,8,8,8,8,9,9,9,9,9,2,4,,
11/26/18,15,Polygonum virginiatum,L,i,426,0,2,4,5,6,9,10,10,10,10,10,10,10,10,1,5,1,
11/26/18,20,Carex grisea,H,i,459,0,,,,,,,,,,,,,,18,,2,
11/26/18,20,Carex grisea,H,i,460,0,,,,,,,,,,,,,,20,,,
11/26/18,20,Carex grisea,L,i,461,0,,,,,,,1,1,1,1,1,1,1,19,,,
11/26/18,20,Carex grisea,L,i,462,0,,,,,,,,,,,,,,20,,,
11/26/18,20,Silene vulgaris,H,i,514,0,1,10,13,13,14,14,14,14,14,14,14,14,14,2,1,3,
11/26/18,20,Silene vulgaris,H,i,515,0,4,13,17,17,17,17,17,17,17,17,17,17,17,,1,,
11/26/18,20,Silene vulgaris,H,i,516,0,2,10,12,12,12,12,12,13,13,13,13,13,13,2,1,4,
11/26/18,20,Silene vulgaris,L,i,517,0,,8,15,18,18,18,19,19,19,19,19,19,19,1,1,,
11/26/18,20,Silene vulgaris,L,i,518,0,1,14,18,19,19,19,19,19,19,20,20,20,20,,,,
11/26/18,20,Silene vulgaris,L,i,519,0,1,9,15,17,18,18,18,18,19,19,19,19,19,,3,,
11/26/18,20,Silene stellata,H,i,568,0,2,4,6,6,6,6,6,6,6,6,6,6,6,14,,,
11/26/18,20,Silene stellata,H,i,569,0,,1,3,3,3,3,3,3,3,3,3,3,3,18,,,
11/26/18,20,Silene stellata,H,i,570,0,,1,1,1,1,1,1,1,1,1,1,1,1,20,,,
11/26/18,20,Silene stellata,L,i,571,0,1,5,5,5,5,5,5,5,5,5,5,5,5,13,,3,
11/26/18,20,Silene stellata,L,i,572,0,,3,3,3,3,3,3,3,3,3,3,3,3,16,1,,
11/26/18,20,Silene stellata,L,i,573,0,,3,4,4,4,4,5,5,5,5,5,5,5,14,,1,
11/26/18,20,Anemone virginana,H,i,622,0,,2,5,5,5,10,19,22,22,22,22,22,22,,,,
11/26/18,20,Anemone virginana,H,i,623,0,,1,1,2,2,6,9,11,14,14,14,16,16,2,,2,
11/26/18,20,Anemone virginana,H,i,624,0,,,4,5,6,13,18,18,18,20,20,20,20,,,,
11/26/18,20,Anemone virginana,L,i,625,0,,,,,,3,11,14,17,19,19,20,20,,,,
11/26/18,20,Anemone virginana,L,i,626,0,,,,,,1,12,15,16,16,17,17,17,1,,,
11/26/18,20,Anemone virginana,L,i,627,0,,,2,3,3,6,15,19,19,19,20,20,20,,,,
11/26/18,15,Thalictrum dioicum,H,i,670,0,1,1,1,1,1,1,3,3,3,4,4,4,4,4,3,4,
11/26/18,15,Thalictrum dioicum,H,i,671,0,,,1,1,1,1,1,1,1,1,1,1,1,5,,9,
11/26/18,15,Thalictrum dioicum,H,i,672,0,,,2,2,2,2,2,2,2,3,3,3,3,6,,6,
11/26/18,15,Thalictrum dioicum,L,i,673,0,,,,,,,1,2,2,2,2,2,2,4,2,6,
11/26/18,15,Thalictrum dioicum,L,i,674,0,,,,,,,1,2,2,2,2,2,2,4,1,8,
11/26/18,15,Thalictrum dioicum,L,i,675,0,,,1,1,1,1,1,1,1,1,1,1,1,3,3,9,
11/26/18,10,Impatiens capensis,H,i,708,0,,,,,1,3,3,3,3,3,3,3,3,7,,,
11/26/18,10,Impatiens capensis,L,i,709,0,,,,,,,,,,,,,,10,,,
11/26/18,15,Phlox cuspidata,H,i,740,0,,,,,,,,,,,,,,3,10,5,
11/26/18,15,Phlox cuspidata,H,i,741,0,,,,,,,,,,,,,,4,9,2,
11/26/18,15,Phlox cuspidata,H,i,742,0,,,,,,,,,,,,,,8,7,,
11/26/18,15,Phlox cuspidata,L,i,743,0,,,,,,,,,,,,,,3,11,2,
