zero_day,tot_seed,TAXA,INC,COLD,plate_num,8/27/18,8/28/18,8/29/18,8/30/18,8/31/18,9/3/18,9/5/18,9/7/18,9/9/18,9/12/18,9/14/18,9/16/18,9/17/18,9/18/18,9/20/18,9/21/18,viable,chill_germ,mold,adj_total
8.27.18,20,Oenethera biennis,H,0,1,0,,,6,8,13,14,15,15,15,15,15,15,15,15,15,5,,,
8.27.18,20,Oenethera biennis,H,0,2,0,,,10,13,15,15,15,15,15,15,15,15,15,15,15,3,,2,
8.27.18,20,Oenethera biennis,H,0,3,0,,,10,12,15,17,17,17,17,17,17,17,17,17,17,1,,,18
8.27.18,20,Oenethera biennis,L,0,4,0,,,,,9,10,10,10,12,12,12,12,12,12,11,3,,2,17
8.27.18,20,Oenethera biennis,L,0,5,0,,,,1,4,4,4,4,4,4,4,4,4,4,4,8,,,12
8.27.18,20,Oenethera biennis,L,0,6,0,,,,,10,11,11,11,11,11,11,11,11,11,11,2,,,13
8.27.18,20,Cryptotaenia canadensis,H,0,7,0,,,,,,,,,,,,,,,,19,,,19
8.27.18,20,Cryptotaenia canadensis,H,0,8,0,,,,,,,,,,,,,,,,16,,2,18
8.27.18,20,Cryptotaenia canadensis,H,0,9,0,,,,,,,1,1,3,4,4,4,4,4,4,14,,1,15
8.27.18,20,Cryptotaenia canadensis,L,0,10,0,,,,,,,,,,,,,,,,19,,,19
8.27.18,20,Cryptotaenia canadensis,L,0,11,0,,,,,,,,,,,,,,,,19,,2,21
8.27.18,20,Cryptotaenia canadensis,L,0,12,0,,,,,,,,,,,,,,,,18,,,18
8.27.18,20,Hesperis matronalis,H,0,13,0,2,7,16,16,16,16,16,16,16,16,16,16,16,16,16,3,,,19
8.27.18,20,Hesperis matronalis,H,0,14,0,2,5,14,14,14,14,15,15,15,15,15,15,15,15,15,4,,,19
8.27.18,20,Hesperis matronalis,H,0,15,0,3,6,11,11,15,16,16,16,16,16,16,16,16,16,16,4,,,
8.27.18,20,Hesperis matronalis,L,0,16,0,1,3,6,10,12,12,12,12,12,12,12,12,12,12,12,8,,,
8.27.18,20,Hesperis matronalis,L,0,17,0,1,3,7,12,15,15,15,16,16,16,17,17,17,17,17,3,,,20
8.27.18,20,Hesperis matronalis,L,0,18,0,1,2,11,11,14,15,15,15,16,16,16,16,16,16,16,4,,,
8.27.18,20,Polygonum virginiatum,H,0,19,0,,,,,,,,,,,,,,,,15,,5,
8.27.18,20,Polygonum virginiatum,H,0,20,0,,,,,,,,,,,,,,,,18,,,
8.27.18,20,Polygonum virginiatum,H,0,21,0,,,,,,,,,,,,,,,,19,,1,
8.27.18,20,Polygonum virginiatum,L,0,22,0,,,,,,,,,,,,,,,,20,,,20
8.27.18,20,Polygonum virginiatum,L,0,23,0,,,,,,,,,,,,,,,,20,,,
8.27.18,20,Polygonum virginiatum,L,0,24,0,,,,,,,,,,,,,,,,18,,2,
8.27.18,20,Asclepias syriaca,H,0,25,0,,,,,2,5,12,13,13,13,13,13,13,14,14,3,,1,18
8.27.18,20,Asclepias syriaca,H,0,26,0,,,1,1,3,3,4,4,4,4,4,4,4,5,5,15,,,20
8.27.18,20,Asclepias syriaca,H,0,27,0,,,,,4,8,10,11,12,12,12,12,15,15,15,3,,,18
8.27.18,20,Asclepias syriaca,L,0,28,0,,,,,,1,1,1,6,8,8,8,8,8,8,8,,,16
8.27.18,20,Asclepias syriaca,L,0,29,0,,,,,1,4,4,5,5,6,6,6,6,6,6,15,,,21
8.27.18,20,Asclepias syriaca,L,0,30,0,,,,,,,1,1,1,1,3,3,3,4,4,11,,,15
8.27.18,20,Carex grayi,H,0,31,0,,,,,,,,,,,,,,,,18,,,18
8.27.18,20,Carex grayi,H,0,32,0,,,,,,,,,,,,,,1,1,19,,,20
8.27.18,20,Carex grayi,H,0,33,0,,,,,,,,,1,1,1,1,1,1,1,18,,1,20
8.27.18,20,Carex grayi,L,0,34,0,,,,,,,,,,,,,,,,20,,,
8.27.18,20,Carex grayi,L,0,35,0,,,,,,,,,,,,,,,,19,,1,
8.27.18,20,Carex grayi,L,0,36,0,,,,,,,,,,,,,,,,20,,,20
8.27.18,20,Carex grisea,H,0,37,0,,,,,,,,,,,,,,,,13,,,13
8.27.18,20,Carex grisea,H,0,38,0,,,,,,,,,,,,,,,,19,,1,19
8.27.18,20,Carex grisea,H,0,39,0,,,,,,,,,,,,,,,,20,,,
8.27.18,20,Carex grisea,L,0,40,0,,,,,,,,,,,,,,,,17,,,17
8.27.18,20,Carex grisea,L,0,41,0,,,,,,,,,,,,,,,,16,,,16
8.27.18,20,Carex grisea,L,0,42,0,,,,,,,,,,,,,,,,17,,2,
8.27.18,10,Phlox cuspidata,H,0,43,0,,,,,,,,,,,,,1,1,1,7,,,8
8.27.18,10,Phlox cuspidata,H,0,44,0,,,,,,,,,,,,,,,,8,,1,9
8.27.18,10,Phlox cuspidata,H,0,45,0,,,,,,,,,,,,,,,,8,,,8
8.27.18,10,Phlox cuspidata,L,0,46,0,,,,,,,,,,,,,,,,9,,,9
8.27.18,10,Phlox cuspidata,L,0,47,0,,,,,,,1,1,1,1,1,1,2,2,2,7,,,9
8.27.18,10,Phlox cuspidata,L,0,48,0,,,,,,,,,,,,,,,,8,,,8
8.27.18,20,Silene stellata,H,0,49,0,,,,1,2,2,2,3,3,3,3,3,3,3,3,13,,,16
8.27.18,20,Silene stellata,H,0,50,0,,,,,,1,1,1,1,1,2,2,2,2,2,17,,,19
8.27.18,20,Silene stellata,H,0,51,0,,,,,1,1,1,1,1,1,2,2,2,2,2,17,,,19
8.27.18,20,Silene stellata,L,0,52,0,,,,,,,,,,,,2,2,2,2,19,,,21
8.27.18,20,Silene stellata,L,0,53,0,,,1,1,1,1,1,1,2,2,2,2,2,2,2,17,,,19
8.27.18,20,Silene stellata,L,0,54,0,,,,,2,2,2,2,2,2,2,2,2,3,3,16,,,19
8.27.18,20,Silene vulgaris,H,0,55,0,,,,,3,4,5,5,5,6,8,8,8,8,8,9,,,17
8.27.18,20,Silene vulgaris,H,0,56,0,,,,,3,7,9,9,11,12,13,13,13,13,13,5,,,18
8.27.18,20,Silene vulgaris,H,0,57,0,,1,1,1,4,4,6,7,8,8,8,8,8,9,9,6,,,15
