zero_day,tot_seed,TAXA,INC,COLD,plate_num,9/10/18,9/12/18,9/14/18,9/16/18,9/17/18,9/18/18,9/20/18,9/21/18,9/23/18,9/26/18,9/28/18,9/30/18,10/3/18,10/5/18,viable,chill_germ,mold,adj_total
9.10.18,20,Oenethera biennis,L,A,85,0,,14,18,19,19,19,19,19,19,19,19,19,19,1,,,20
9.10.18,20,Oenethera biennis,L,A,86,0,,6,9,10,10,10,10,10,10,10,10,10,10,3,,,13
9.10.18,20,Oenethera biennis,H,A,87,0,3,14,14,14,14,14,14,14,14,14,14,14,14,2,,,16
9.10.18,20,Oenethera biennis,H,A,88,0,2,8,8,8,8,8,8,8,8,8,8,8,8,5,,,13
9.10.18,20,Oenethera biennis,H,A,89,0,4,13,13,13,13,13,13,13,13,13,13,13,13,2,,,15
9.10.18,20,Oenethera biennis,L,A,90,0,,7,13,13,13,13,13,13,13,13,13,13,13,1,,,14
9.10.18,20,Asclepias syriaca,L,A,133,0,,,,1,4,14,14,15,15,15,15,16,17,3,,,20
9.10.18,20,Asclepias syriaca,L,A,134,0,,1,3,5,8,10,10,12,12,13,13,13,14,6,,,20
9.10.18,20,Asclepias syriaca,L,A,135,0,,,2,4,9,14,16,16,19,19,19,19,20,2,,,2
9.10.18,20,Asclepias syriaca,H,A,136,0,,11,16,17,17,17,17,17,17,17,17,17,17,2,,,19
9.10.18,20,Asclepias syriaca,H,A,137,0,,10,14,16,16,16,18,18,18,18,18,18,18,2,,,20
9.10.18,20,Asclepias syriaca,H,A,138,0,,6,12,13,14,15,15,15,16,16,16,16,16,1,,3,
9.10.18,20,Cryptotaenia canadensis,L,A,181,0,,,,,,4,4,4,4,4,4,4,4,16,,,20
9.10.18,20,Cryptotaenia canadensis,L,A,182,0,,,,,,,,,,,,,,16,,,16
9.10.18,20,Cryptotaenia canadensis,L,A,183,0,,,,,3,5,6,7,8,8,8,8,8,11,,,19
9.10.18,20,Cryptotaenia canadensis,H,A,184,0,,,,,,,,,,,,,,19,,,19
9.10.18,20,Cryptotaenia canadensis,H,A,185,0,,,,,1,1,1,1,1,1,1,1,1,19,,,19
9.10.18,20,Cryptotaenia canadensis,H,A,186,0,,,,,,1,1,1,1,1,1,1,1,18,,,18
9.10.18,20,Eurbia diviricata,L,A,247,0,,,,,,,,1,3,5,5,5,5,12,,,17
9.10.18,20,Eurbia diviricata,L,A,248,0,,,,,,,1,1,2,2,2,2,2,10,,,12
9.10.18,20,Eurbia diviricata,L,A,249,0,,,,,,,,,,,1,1,1,8,,5,
9.10.18,20,Eurbia diviricata,H,A,250,0,,,1,1,1,3,3,4,4,5,6,6,6,7,,2,
9.10.18,20,Eurbia diviricata,H,A,251,0,,,,,,,1,1,1,2,2,2,2,11,,,13
9.10.18,20,Eurbia diviricata,H,A,252,0,,,,,,,,2,2,2,2,2,3,9,,,12
9.10.18,20,Hesperis matronalis,L,A,301,0,9,14,14,14,14,14,15,15,15,15,15,15,15,4,,,19
9.10.18,20,Hesperis matronalis,L,A,302,0,16,19,19,19,19,19,19,19,19,19,19,19,19,2,,,21
9.10.18,20,Hesperis matronalis,L,A,303,0,14,15,15,15,15,15,15,15,15,15,15,15,15,2,,,17
9.10.18,20,Hesperis matronalis,H,A,304,0,15,20,20,20,20,20,20,20,20,20,20,20,20,,,,
9.10.18,20,Hesperis matronalis,H,A,305,0,18,20,20,20,20,20,20,20,20,20,20,20,20,,,,
9.10.18,20,Hesperis matronalis,H,A,306,0,18,20,20,20,20,20,20,20,20,20,20,20,20,,,,
9.10.18,20,Polygonum virginiatum,L,A,379,0,,,,,,,,,,,,,,20,,,
9.10.18,20,Polygonum virginiatum,L,A,380,0,,,,,,,,,,,,,,20,,,
9.10.18,20,Polygonum virginiatum,L,A,381,0,,,,,,,,,,,,,,20,,,
9.10.18,20,Polygonum virginiatum,H,A,382,0,,,,,,,,,,,,,,19,,1,
9.10.18,20,Polygonum virginiatum,H,A,383,0,,,,,,,,,,,,,,19,,1,
9.10.18,20,Polygonum virginiatum,H,A,384,0,,,,,,,,,,,,,,16,,4,
9.10.18,20,Carex grisea,L,A,427,0,,,,,,,,,,,,,,20,,,
9.10.18,20,Carex grisea,L,A,428,0,,,,,,,,,,,,,,20,,,
9.10.18,20,Carex grisea,H,A,429,0,,,,,,,,1,1,1,1,1,1,18,,1,
9.10.18,20,Carex grisea,H,A,430,0,,,,,,,,,,1,1,1,1,18,,1,
9.10.18,20,Silene vulgaris,L,A,466,0,2,8,11,15,15,15,15,16,16,16,16,16,16,2,,,18
9.10.18,20,Silene vulgaris,L,A,467,0,1,5,9,9,9,11,11,11,11,11,11,11,11,9,,,20
9.10.18,20,Silene vulgaris,L,A,468,0,,5,13,14,15,15,15,15,16,16,16,16,16,4,,,20
9.10.18,20,Silene vulgaris,H,A,469,0,4,8,9,9,9,9,9,9,12,12,12,12,12,6,,,18
9.10.18,20,Silene vulgaris,H,A,470,0,,10,12,12,12,12,12,12,13,13,13,13,13,4,,,17
9.10.18,20,Silene vulgaris,H,A,471,0,1,7,12,13,15,15,15,15,15,15,15,15,15,3,,,18
9.10.18,20,Silene stellata,L,A,520,0,,1,2,3,3,3,3,3,3,3,3,3,3,19,,,22
9.10.18,20,Silene stellata,L,A,521,0,,1,1,1,1,2,3,3,3,3,3,4,4,17,,,21
9.10.18,20,Silene stellata,L,A,522,0,,2,2,2,3,3,3,3,4,4,4,4,4,16,,,20
9.10.18,20,Silene stellata,H,A,523,0,1,1,2,2,2,2,2,2,2,2,2,2,2,18,,,20
9.10.18,20,Silene stellata,H,A,524,0,1,1,1,1,1,1,1,1,1,1,1,1,1,18,,,19
9.10.18,20,Silene stellata,H,A,525,0,,1,1,1,1,1,1,1,2,2,2,2,2,19,,,21
9.10.18,20,Anemone virginana,L,A,574,0,,,,,,,,,4,5,5,10,12,6,,1,
9.10.18,20,Anemone virginana,L,A,575,0,,,,1,1,2,4,6,9,11,14,14,16,5,,,21
9.10.18,20,Anemone virginana,L,A,576,0,,,,,,,,2,7,7,9,12,15,5,,,20
9.10.18,20,Anemone virginana,H,A,577,0,,,,,,1,3,11,13,14,15,16,16,3,,1,
9.10.18,20,Anemone virginana,H,A,578,0,,,2,2,2,3,4,7,12,13,15,18,18,2,,,20
9.10.18,20,Anemone virginana,H,A,579,0,,,,,1,4,5,9,10,11,13,17,17,2,,,19
9.10.18,15,Thalictrum dioicum,L,A,628,0,,,,,,,,,,,,,,9,,6,
9.10.18,15,Thalictrum dioicum,L,A,629,0,,,,,,,,,,,3,3,3,8,,,11
9.10.18,15,Thalictrum dioicum,L,A,630,0,,,,,,,,,,,4,4,6,7,,,13
9.10.18,15,Thalictrum dioicum,H,A,631,0,,,,,,,,,,,,,,13,,2,
9.10.18,15,Thalictrum dioicum,H,A,632,0,,,,,,,,,,,1,1,1,8,,5,
9.10.18,15,Thalictrum dioicum,H,A,633,0,,,,,,,,,,,,,1,8,,6,
9.10.18,15,Impatiens capensis,L,A,676,0,,,,,,,,,,,,,,0,,10,
9.10.18,15,Impatiens capensis,L,A,677,0,,,,,,,,,,,,,,1,,9,
9.10.18,15,Impatiens capensis,H,A,678,0,,,,,,,,,,,,,,0,,10,
9.10.18,15,Impatiens capensis,H,A,679,0,,,,,,,,,,,,,,1,,9,
9.10.18,15,Phlox cuspidata,L,A,712,0,3,8,9,9,9,9,9,9,9,9,9,9,9,4,,,13
9.10.18,15,Phlox cuspidata,L,A,713,0,7,9,9,9,9,9,9,9,9,9,10,10,10,5,,,15
9.10.18,15,Phlox cuspidata,H,A,714,0,6,7,8,8,8,8,8,8,8,8,8,8,8,6,,,14
9.10.18,15,Phlox cuspidata,H,A,715,0,3,3,3,3,3,4,4,4,4,4,4,4,4,7,,,11
