"","Taxa","INC","COLD","plate_num","date","viable","DAY","END","germination","mold","adj_total","force","germ_perc"
"1","Oenethera biennis","H","O",1,2018-01-01,5,-Inf,0,0,0,20,25,0
"2","Oenethera biennis","H","O",2,2018-01-01,3,-Inf,0,0,2,18,25,0
"3","Oenethera biennis","H","O",3,2018-01-01,1,-Inf,0,0,0,18,25,0
"4","Oenethera biennis","L","O",4,2018-01-01,3,-Inf,0,0,2,15,20,0
"5","Oenethera biennis","L","O",5,2018-01-01,8,-Inf,0,0,0,12,20,0
"6","Oenethera biennis","L","O",6,2018-01-01,2,-Inf,0,0,0,13,20,0
"7","Cryptotaenia canadensis","H","O",7,2018-01-01,19,-Inf,0,0,0,19,25,0
"8","Cryptotaenia canadensis","H","O",8,2018-01-01,16,-Inf,0,0,2,16,25,0
"9","Cryptotaenia canadensis","H","O",9,2018-01-01,14,-Inf,0,0,1,18,25,0
"10","Cryptotaenia canadensis","L","O",10,2018-01-01,19,-Inf,0,0,0,19,20,0
"11","Cryptotaenia canadensis","L","O",11,2018-01-01,19,-Inf,0,0,2,19,20,0
"12","Cryptotaenia canadensis","L","O",12,2018-01-01,18,-Inf,0,0,0,18,20,0
"13","Hesperis matronalis","H","O",13,2018-01-01,3,-Inf,0,0,0,19,25,0
"14","Hesperis matronalis","H","O",14,2018-01-01,4,-Inf,0,0,0,19,25,0
"15","Hesperis matronalis","H","O",15,2018-01-01,4,-Inf,0,0,0,20,25,0
"16","Hesperis matronalis","L","O",16,2018-01-01,8,-Inf,0,0,0,20,20,0
"17","Hesperis matronalis","L","O",17,2018-01-01,3,-Inf,0,0,0,20,20,0
"18","Hesperis matronalis","L","O",18,2018-01-01,4,-Inf,0,0,0,20,20,0
"19","Polygonum virginiatum","H","O",19,2018-01-01,15,-Inf,0,0,5,15,25,0
"20","Polygonum virginiatum","H","O",20,2018-01-01,18,-Inf,0,0,0,18,25,0
"21","Polygonum virginiatum","H","O",21,2018-01-01,19,-Inf,0,0,1,19,25,0
"22","Polygonum virginiatum","L","O",22,2018-01-01,20,-Inf,0,0,0,20,20,0
"23","Polygonum virginiatum","L","O",23,2018-01-01,20,-Inf,0,0,0,20,20,0
"24","Polygonum virginiatum","L","O",24,2018-01-01,18,-Inf,0,0,2,18,20,0
"25","Asclepias syriaca","H","O",25,2018-01-01,3,-Inf,0,0,1,17,25,0
"26","Asclepias syriaca","H","O",26,2018-01-01,15,-Inf,0,0,0,20,25,0
"27","Asclepias syriaca","H","O",27,2018-01-01,3,-Inf,0,0,0,18,25,0
"28","Asclepias syriaca","L","O",28,2018-01-01,8,-Inf,0,0,0,16,20,0
"29","Asclepias syriaca","L","O",29,2018-01-01,15,-Inf,0,0,0,21,20,0
"30","Asclepias syriaca","L","O",30,2018-01-01,11,-Inf,0,0,0,15,20,0
"31","Carex grayi","H","O",31,2018-01-01,18,-Inf,0,0,0,20,25,0
"32","Carex grayi","H","O",32,2018-01-01,19,-Inf,0,0,0,20,25,0
"33","Carex grayi","H","O",33,2018-01-01,18,-Inf,0,0,1,20,25,0
"34","Carex grayi","L","O",34,2018-01-01,20,-Inf,0,0,0,20,20,0
"35","Carex grayi","L","O",35,2018-01-01,19,-Inf,0,0,1,20,20,0
"36","Carex grayi","L","O",36,2018-01-01,20,-Inf,0,0,0,20,20,0
"37","Carex grisea","H","O",37,2018-01-01,13,-Inf,0,0,0,13,25,0
"38","Carex grisea","H","O",38,2018-01-01,19,-Inf,0,0,1,19,25,0
"39","Carex grisea","H","O",39,2018-01-01,20,-Inf,0,0,0,20,25,0
"40","Carex grisea","L","O",40,2018-01-01,17,-Inf,0,0,0,17,20,0
"41","Carex grisea","L","O",41,2018-01-01,16,-Inf,0,0,0,16,20,0
"42","Carex grisea","L","O",42,2018-01-01,17,-Inf,0,0,2,17,20,0
"43","Phlox cuspidata","H","O",43,2018-01-01,7,-Inf,0,0,0,8,25,0
"44","Phlox cuspidata","H","O",44,2018-01-01,8,-Inf,0,0,1,8,25,0
"45","Phlox cuspidata","H","O",45,2018-01-01,8,-Inf,0,0,0,8,25,0
"46","Phlox cuspidata","L","O",46,2018-01-01,9,-Inf,0,0,0,9,20,0
"47","Phlox cuspidata","L","O",47,2018-01-01,7,-Inf,0,0,0,9,20,0
"48","Phlox cuspidata","L","O",48,2018-01-01,8,-Inf,0,0,0,8,20,0
"49","Silene stellata","H","O",49,2018-01-01,13,-Inf,0,0,0,16,25,0
"50","Silene stellata","H","O",50,2018-01-01,17,-Inf,0,0,0,19,25,0
"51","Silene stellata","H","O",51,2018-01-01,17,-Inf,0,0,0,19,25,0
"52","Silene stellata","L","O",52,2018-01-01,19,-Inf,0,0,0,21,20,0
"53","Silene stellata","L","O",53,2018-01-01,17,-Inf,0,0,0,19,20,0
"54","Silene stellata","L","O",54,2018-01-01,16,-Inf,0,0,0,19,20,0
"55","Silene vulgaris","H","O",55,2018-01-01,9,-Inf,0,0,0,17,25,0
"56","Silene vulgaris","H","O",56,2018-01-01,5,-Inf,0,0,0,18,25,0
"57","Silene vulgaris","H","O",57,2018-01-01,6,-Inf,0,0,0,15,25,0
"58","Silene vulgaris","L","O",58,2018-01-01,6,-Inf,0,0,0,20,20,0
"59","Silene vulgaris","L","O",59,2018-01-01,0,-Inf,0,0,0,20,20,0
"60","Silene vulgaris","L","O",60,2018-01-01,2,-Inf,0,0,0,20,20,0
"61","Eurbia diviricata","H","O",61,2018-01-01,7,-Inf,0,0,8,9,25,0
"62","Eurbia diviricata","H","O",62,2018-01-01,11,-Inf,0,0,5,13,25,0
"63","Eurbia diviricata","H","O",63,2018-01-01,13,-Inf,0,0,0,13,25,0
"64","Eurbia diviricata","L","O",64,2018-01-01,13,-Inf,0,0,5,15,20,0
"65","Eurbia diviricata","L","O",65,2018-01-01,14,-Inf,0,0,2,16,20,0
"66","Eurbia diviricata","L","O",66,2018-01-01,6,-Inf,0,0,10,6,20,0
"67","Thalictrum dioicum","H","O",67,2018-01-01,1,-Inf,0,0,9,1,25,0
"68","Thalictrum dioicum","H","O",68,2018-01-01,4,-Inf,0,0,6,4,25,0
"69","Thalictrum dioicum","H","O",69,2018-01-01,5,-Inf,0,0,5,5,25,0
"70","Thalictrum dioicum","L","O",70,2018-01-01,9,-Inf,0,0,1,9,20,0
"71","Thalictrum dioicum","L","O",71,2018-01-01,6,-Inf,0,0,4,6,20,0
"72","Thalictrum dioicum","L","O",72,2018-01-01,4,-Inf,0,0,6,4,20,0
"73","Anemone virginana","H","O",73,2018-01-01,1,-Inf,0,0,0,20,25,0
"74","Anemone virginana","H","O",74,2018-01-01,2,-Inf,0,0,0,20,25,0
"75","Anemone virginana","H","O",75,2018-01-01,0,-Inf,0,0,0,17,25,0
"76","Anemone virginana","L","O",76,2018-01-01,3,-Inf,0,0,0,17,20,0
"77","Anemone virginana","L","O",77,2018-01-01,3,-Inf,0,0,0,18,20,0
"78","Anemone virginana","L","O",78,2018-01-01,3,-Inf,0,0,0,15,20,0
"79","Impatiens capensis","H","O",79,2018-01-01,1,-Inf,0,0,9,10,25,0
"80","Impatiens capensis","H","O",80,2018-01-01,0,-Inf,0,0,10,10,25,0
"81","Impatiens capensis","H","O",81,2018-01-01,4,-Inf,0,0,8,10,25,0
"82","Impatiens capensis","L","O",82,2018-01-01,0,-Inf,0,0,10,10,20,0
"83","Impatiens capensis","L","O",83,2018-01-01,0,-Inf,0,0,0,10,20,0
"84","Impatiens capensis","L","O",84,2018-01-01,0,-Inf,0,0,0,10,20,0
"85","Oenethera biennis","L","A",85,2018-01-01,1,-Inf,0,0,0,20,20,0
"86","Oenethera biennis","L","A",86,2018-01-01,3,-Inf,0,0,0,13,20,0
"87","Oenethera biennis","H","A",87,2018-01-01,2,-Inf,0,0,0,16,25,0
"88","Oenethera biennis","H","A",88,2018-01-01,5,-Inf,0,0,0,13,25,0
"89","Oenethera biennis","H","A",89,2018-01-01,2,-Inf,0,0,0,15,25,0
"90","Oenethera biennis","L","A",90,2018-01-01,1,-Inf,0,0,0,14,20,0
"91","Asclepias syriaca","L","A",133,2018-01-01,3,-Inf,0,0,0,20,20,0
"92","Asclepias syriaca","L","A",134,2018-01-01,6,-Inf,0,0,0,20,20,0
"93","Asclepias syriaca","L","A",135,2018-01-01,2,-Inf,0,0,0,22,20,0
"94","Asclepias syriaca","H","A",136,2018-01-01,2,-Inf,0,0,0,19,25,0
"95","Asclepias syriaca","H","A",137,2018-01-01,2,-Inf,0,0,0,20,25,0
"96","Asclepias syriaca","H","A",138,2018-01-01,1,-Inf,0,0,3,17,25,0
"97","Cryptotaenia canadensis","L","A",181,2018-01-01,16,-Inf,0,0,0,20,20,0
"98","Cryptotaenia canadensis","L","A",182,2018-01-01,16,-Inf,0,0,0,16,20,0
"99","Cryptotaenia canadensis","L","A",183,2018-01-01,11,-Inf,0,0,0,19,20,0
"100","Cryptotaenia canadensis","H","A",184,2018-01-01,19,-Inf,0,0,0,19,25,0
"101","Cryptotaenia canadensis","H","A",185,2018-01-01,19,-Inf,0,0,0,20,25,0
"102","Cryptotaenia canadensis","H","A",186,2018-01-01,18,-Inf,0,0,0,19,25,0
"103","Eurbia diviricata","L","A",247,2018-01-01,12,-Inf,0,0,0,17,20,0
"104","Eurbia diviricata","L","A",248,2018-01-01,10,-Inf,0,0,0,12,20,0
"105","Eurbia diviricata","L","A",249,2018-01-01,8,-Inf,0,0,5,9,20,0
"106","Eurbia diviricata","H","A",250,2018-01-01,7,-Inf,0,0,2,13,25,0
"107","Eurbia diviricata","H","A",251,2018-01-01,11,-Inf,0,0,0,13,25,0
"108","Eurbia diviricata","H","A",252,2018-01-01,9,-Inf,0,0,0,12,25,0
"109","Hesperis matronalis","L","A",301,2018-01-01,4,-Inf,0,0,0,19,20,0
"110","Hesperis matronalis","L","A",302,2018-01-01,2,-Inf,0,0,0,21,20,0
"111","Hesperis matronalis","L","A",303,2018-01-01,2,-Inf,0,0,0,17,20,0
"112","Hesperis matronalis","H","A",304,2018-01-01,0,-Inf,0,0,0,20,25,0
"113","Hesperis matronalis","H","A",305,2018-01-01,0,-Inf,0,0,0,20,25,0
"114","Hesperis matronalis","H","A",306,2018-01-01,0,-Inf,0,0,0,20,25,0
"115","Polygonum virginiatum","L","A",379,2018-01-01,20,-Inf,0,0,0,20,20,0
"116","Polygonum virginiatum","L","A",380,2018-01-01,20,-Inf,0,0,0,20,20,0
"117","Polygonum virginiatum","L","A",381,2018-01-01,20,-Inf,0,0,0,20,20,0
"118","Polygonum virginiatum","H","A",382,2018-01-01,19,-Inf,0,0,1,19,25,0
"119","Polygonum virginiatum","H","A",383,2018-01-01,19,-Inf,0,0,1,19,25,0
"120","Polygonum virginiatum","H","A",384,2018-01-01,16,-Inf,0,0,4,16,25,0
"121","Carex grisea","L","A",427,2018-01-01,20,-Inf,0,0,0,20,20,0
"122","Carex grisea","L","A",428,2018-01-01,20,-Inf,0,0,0,20,20,0
"123","Carex grisea","H","A",429,2018-01-01,18,-Inf,0,0,1,19,25,0
"124","Carex grisea","H","A",430,2018-01-01,18,-Inf,0,0,1,19,25,0
"125","Silene vulgaris","L","A",466,2018-01-01,2,-Inf,0,0,0,18,20,0
"126","Silene vulgaris","L","A",467,2018-01-01,9,-Inf,0,0,0,20,20,0
"127","Silene vulgaris","L","A",468,2018-01-01,4,-Inf,0,0,0,20,20,0
"128","Silene vulgaris","H","A",469,2018-01-01,6,-Inf,0,0,0,18,25,0
"129","Silene vulgaris","H","A",470,2018-01-01,4,-Inf,0,0,0,17,25,0
"130","Silene vulgaris","H","A",471,2018-01-01,3,-Inf,0,0,0,18,25,0
