"","X","Taxa","INC","COLD","plate_num","date","viable","DAY","END","germination","mold","adj_total","force","germ_perc","censor","chill_time","warmT"
"330",330,"Hesperis matronalis","H","D",320,"2018-01-01",0,NA,0,1,0,18,25,0.0555555555555556,2,42,25
"331",331,"Hesperis matronalis","H","D",321,"2018-01-01",0,NA,0,3,0,19,25,0.157894736842105,2,42,25
"331.1",331,"Hesperis matronalis","H","D",321,"2018-01-01",0,NA,0,3,0,19,25,0.157894736842105,2,42,25
"331.2",331,"Hesperis matronalis","H","D",321,"2018-01-01",0,NA,0,3,0,19,25,0.157894736842105,2,42,25
"332",332,"Hesperis matronalis","L","D",322,"2018-01-01",0,NA,0,2,0,18,20,0.111111111111111,2,42,20
"332.1",332,"Hesperis matronalis","L","D",322,"2018-01-01",0,NA,0,2,0,18,20,0.111111111111111,2,42,20
"333",333,"Hesperis matronalis","L","D",323,"2018-01-01",0,NA,0,1,0,20,20,0.05,2,42,20
"334",334,"Hesperis matronalis","L","D",324,"2018-01-01",1,NA,0,1,0,18,20,0.0555555555555556,2,42,20
"377",377,"Phlox cuspidata","H","D",724,"2018-01-01",4,NA,0,7,0,4,25,1.75,2,42,25
"377.1",377,"Phlox cuspidata","H","D",724,"2018-01-01",4,NA,0,7,0,4,25,1.75,2,42,25
"377.2",377,"Phlox cuspidata","H","D",724,"2018-01-01",4,NA,0,7,0,4,25,1.75,2,42,25
"377.3",377,"Phlox cuspidata","H","D",724,"2018-01-01",4,NA,0,7,0,4,25,1.75,2,42,25
"377.4",377,"Phlox cuspidata","H","D",724,"2018-01-01",4,NA,0,7,0,4,25,1.75,2,42,25
"377.5",377,"Phlox cuspidata","H","D",724,"2018-01-01",4,NA,0,7,0,4,25,1.75,2,42,25
"377.6",377,"Phlox cuspidata","H","D",724,"2018-01-01",4,NA,0,7,0,4,25,1.75,2,42,25
"378",378,"Phlox cuspidata","H","D",725,"2018-01-01",5,NA,0,8,1,6,25,1.33333333333333,2,42,25
"378.1",378,"Phlox cuspidata","H","D",725,"2018-01-01",5,NA,0,8,1,6,25,1.33333333333333,2,42,25
"378.2",378,"Phlox cuspidata","H","D",725,"2018-01-01",5,NA,0,8,1,6,25,1.33333333333333,2,42,25
"378.3",378,"Phlox cuspidata","H","D",725,"2018-01-01",5,NA,0,8,1,6,25,1.33333333333333,2,42,25
"378.4",378,"Phlox cuspidata","H","D",725,"2018-01-01",5,NA,0,8,1,6,25,1.33333333333333,2,42,25
"378.5",378,"Phlox cuspidata","H","D",725,"2018-01-01",5,NA,0,8,1,6,25,1.33333333333333,2,42,25
"378.6",378,"Phlox cuspidata","H","D",725,"2018-01-01",5,NA,0,8,1,6,25,1.33333333333333,2,42,25
"378.7",378,"Phlox cuspidata","H","D",725,"2018-01-01",5,NA,0,8,1,6,25,1.33333333333333,2,42,25
"379",379,"Phlox cuspidata","L","D",726,"2018-01-01",6,NA,0,5,0,8,20,0.625,2,42,20
"379.1",379,"Phlox cuspidata","L","D",726,"2018-01-01",6,NA,0,5,0,8,20,0.625,2,42,20
"379.2",379,"Phlox cuspidata","L","D",726,"2018-01-01",6,NA,0,5,0,8,20,0.625,2,42,20
"379.3",379,"Phlox cuspidata","L","D",726,"2018-01-01",6,NA,0,5,0,8,20,0.625,2,42,20
"379.4",379,"Phlox cuspidata","L","D",726,"2018-01-01",6,NA,0,5,0,8,20,0.625,2,42,20
"380",380,"Phlox cuspidata","L","D",727,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,42,20
"380.1",380,"Phlox cuspidata","L","D",727,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,42,20
"380.2",380,"Phlox cuspidata","L","D",727,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,42,20
"380.3",380,"Phlox cuspidata","L","D",727,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,42,20
"380.4",380,"Phlox cuspidata","L","D",727,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,42,20
"380.5",380,"Phlox cuspidata","L","D",727,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,42,20
"380.6",380,"Phlox cuspidata","L","D",727,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,42,20
"380.7",380,"Phlox cuspidata","L","D",727,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,42,20
"380.8",380,"Phlox cuspidata","L","D",727,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,42,20
"380.9",380,"Phlox cuspidata","L","D",727,"2018-01-01",4,NA,0,10,1,4,20,2.5,2,42,20
"409",409,"Hesperis matronalis","L","E",329,"2018-01-01",0,NA,0,2,0,18,20,0.111111111111111,2,49,20
"409.1",409,"Hesperis matronalis","L","E",329,"2018-01-01",0,NA,0,2,0,18,20,0.111111111111111,2,49,20
"410",410,"Hesperis matronalis","L","E",330,"2018-01-01",0,NA,0,2,0,19,20,0.105263157894737,2,49,20
"410.1",410,"Hesperis matronalis","L","E",330,"2018-01-01",0,NA,0,2,0,19,20,0.105263157894737,2,49,20
"425",425,"Silene vulgaris","H","E",490,"2018-01-01",0,NA,0,1,0,20,25,0.05,2,49,25
"426",426,"Silene vulgaris","H","E",491,"2018-01-01",2,NA,0,1,0,18,25,0.0555555555555556,2,49,25
"428",428,"Silene vulgaris","L","E",493,"2018-01-01",0,NA,0,1,2,18,20,0.0555555555555556,2,49,20
"453",453,"Phlox cuspidata","H","E",728,"2018-01-01",4,NA,0,9,0,5,25,1.8,2,49,25
"453.1",453,"Phlox cuspidata","H","E",728,"2018-01-01",4,NA,0,9,0,5,25,1.8,2,49,25
