"","Taxa","INC","COLD","plate_num","date","DAY","germinated","chill_time","warmT"
"97","Hesperis matronalis","H","0",13,"2018-08-28",1,1,0,25
"97.1","Hesperis matronalis","H","0",13,"2018-08-28",1,1,0,25
"98","Hesperis matronalis","H","0",14,"2018-08-28",1,1,0,25
"98.1","Hesperis matronalis","H","0",14,"2018-08-28",1,1,0,25
"99","Hesperis matronalis","H","0",15,"2018-08-28",1,1,0,25
"99.1","Hesperis matronalis","H","0",15,"2018-08-28",1,1,0,25
"99.2","Hesperis matronalis","H","0",15,"2018-08-28",1,1,0,25
"100","Hesperis matronalis","L","0",16,"2018-08-28",1,1,0,20
"101","Hesperis matronalis","L","0",17,"2018-08-28",1,1,0,20
"102","Hesperis matronalis","L","0",18,"2018-08-28",1,1,0,20
"181","Hesperis matronalis","H","0",13,"2018-08-29",2,1,0,25
"181.1","Hesperis matronalis","H","0",13,"2018-08-29",2,1,0,25
"181.2","Hesperis matronalis","H","0",13,"2018-08-29",2,1,0,25
"181.3","Hesperis matronalis","H","0",13,"2018-08-29",2,1,0,25
"181.4","Hesperis matronalis","H","0",13,"2018-08-29",2,1,0,25
"182","Hesperis matronalis","H","0",14,"2018-08-29",2,1,0,25
"182.1","Hesperis matronalis","H","0",14,"2018-08-29",2,1,0,25
"182.2","Hesperis matronalis","H","0",14,"2018-08-29",2,1,0,25
"183","Hesperis matronalis","H","0",15,"2018-08-29",2,1,0,25
"183.1","Hesperis matronalis","H","0",15,"2018-08-29",2,1,0,25
"183.2","Hesperis matronalis","H","0",15,"2018-08-29",2,1,0,25
"184","Hesperis matronalis","L","0",16,"2018-08-29",2,1,0,20
"184.1","Hesperis matronalis","L","0",16,"2018-08-29",2,1,0,20
"185","Hesperis matronalis","L","0",17,"2018-08-29",2,1,0,20
"185.1","Hesperis matronalis","L","0",17,"2018-08-29",2,1,0,20
"186","Hesperis matronalis","L","0",18,"2018-08-29",2,1,0,20
"225","Silene vulgaris","H","0",57,"2018-08-29",2,1,0,25
"253","Oenethera biennis","H","0",1,"2018-08-30",3,1,0,25
"253.1","Oenethera biennis","H","0",1,"2018-08-30",3,1,0,25
"253.2","Oenethera biennis","H","0",1,"2018-08-30",3,1,0,25
"253.3","Oenethera biennis","H","0",1,"2018-08-30",3,1,0,25
"253.4","Oenethera biennis","H","0",1,"2018-08-30",3,1,0,25
"253.5","Oenethera biennis","H","0",1,"2018-08-30",3,1,0,25
"254","Oenethera biennis","H","0",2,"2018-08-30",3,1,0,25
"254.1","Oenethera biennis","H","0",2,"2018-08-30",3,1,0,25
"254.2","Oenethera biennis","H","0",2,"2018-08-30",3,1,0,25
"254.3","Oenethera biennis","H","0",2,"2018-08-30",3,1,0,25
"254.4","Oenethera biennis","H","0",2,"2018-08-30",3,1,0,25
"254.5","Oenethera biennis","H","0",2,"2018-08-30",3,1,0,25
"254.6","Oenethera biennis","H","0",2,"2018-08-30",3,1,0,25
"254.7","Oenethera biennis","H","0",2,"2018-08-30",3,1,0,25
"254.8","Oenethera biennis","H","0",2,"2018-08-30",3,1,0,25
"254.9","Oenethera biennis","H","0",2,"2018-08-30",3,1,0,25
"255","Oenethera biennis","H","0",3,"2018-08-30",3,1,0,25
"255.1","Oenethera biennis","H","0",3,"2018-08-30",3,1,0,25
"255.2","Oenethera biennis","H","0",3,"2018-08-30",3,1,0,25
"255.3","Oenethera biennis","H","0",3,"2018-08-30",3,1,0,25
"255.4","Oenethera biennis","H","0",3,"2018-08-30",3,1,0,25
"255.5","Oenethera biennis","H","0",3,"2018-08-30",3,1,0,25
"255.6","Oenethera biennis","H","0",3,"2018-08-30",3,1,0,25
"255.7","Oenethera biennis","H","0",3,"2018-08-30",3,1,0,25
"255.8","Oenethera biennis","H","0",3,"2018-08-30",3,1,0,25
"255.9","Oenethera biennis","H","0",3,"2018-08-30",3,1,0,25
"265","Hesperis matronalis","H","0",13,"2018-08-30",3,1,0,25
"265.1","Hesperis matronalis","H","0",13,"2018-08-30",3,1,0,25
"265.2","Hesperis matronalis","H","0",13,"2018-08-30",3,1,0,25
"265.3","Hesperis matronalis","H","0",13,"2018-08-30",3,1,0,25
"265.4","Hesperis matronalis","H","0",13,"2018-08-30",3,1,0,25
"265.5","Hesperis matronalis","H","0",13,"2018-08-30",3,1,0,25
"265.6","Hesperis matronalis","H","0",13,"2018-08-30",3,1,0,25
"265.7","Hesperis matronalis","H","0",13,"2018-08-30",3,1,0,25
"265.8","Hesperis matronalis","H","0",13,"2018-08-30",3,1,0,25
"266","Hesperis matronalis","H","0",14,"2018-08-30",3,1,0,25
"266.1","Hesperis matronalis","H","0",14,"2018-08-30",3,1,0,25
"266.2","Hesperis matronalis","H","0",14,"2018-08-30",3,1,0,25
"266.3","Hesperis matronalis","H","0",14,"2018-08-30",3,1,0,25
"266.4","Hesperis matronalis","H","0",14,"2018-08-30",3,1,0,25
"266.5","Hesperis matronalis","H","0",14,"2018-08-30",3,1,0,25
"266.6","Hesperis matronalis","H","0",14,"2018-08-30",3,1,0,25
"266.7","Hesperis matronalis","H","0",14,"2018-08-30",3,1,0,25
