zero_day,tot_seed,TAXA,INC,COLD,plate_num,9.12.18,9.14.18,9.16.18,9/17/18,9/18/18,9/20/18,9/21/18,9/23/18,9/26/18,9/28/18
9.10.18,20,Oenethera biennis,L,A,85,,14,18,19,19,19,19,19,19,19
9.10.18,20,Oenethera biennis,L,A,86,,6,9,10,10,10,10,10,10,10
9.10.18,20,Oenethera biennis,H,A,87,3,14,14,14,14,14,14,14,14,14
9.10.18,20,Oenethera biennis,H,A,88,2,8,8,8,8,8,8,8,8,8
9.10.18,20,Oenethera biennis,H,A,89,4,13,13,13,13,13,13,13,13,13
9.10.18,20,Oenethera biennis,L,A,90,,7,13,13,13,13,13,13,13,13
9.10.18,20,Asclepias syriaca,L,A,133,,,,1,4,14,14,15,15,15
9.10.18,20,Asclepias syriaca,L,A,134,,1,3,5,8,10,10,12,12,13
9.10.18,20,Asclepias syriaca,L,A,135,,,2,4,9,14,16,16,19,19
9.10.18,20,Asclepias syriaca,H,A,136,,11,16,17,17,17,17,17,17,17
9.10.18,20,Asclepias syriaca,H,A,137,,10,14,16,16,16,18,18,18,18
9.10.18,20,Asclepias syriaca,H,A,138,,6,12,13,14,15,15,15,16,16
9.10.18,20,Cryptotaenia canadensis,L,A,181,,,,,,4,4,4,4,4
9.10.18,20,Cryptotaenia canadensis,L,A,182,,,,,,,,,,
9.10.18,20,Cryptotaenia canadensis,L,A,183,,,,,3,5,6,7,8,8
9.10.18,20,Cryptotaenia canadensis,H,A,184,,,,,,,,,,
9.10.18,20,Cryptotaenia canadensis,H,A,185,,,,,1,1,1,1,1,1
9.10.18,20,Cryptotaenia canadensis,H,A,186,,,,,,1,1,,,
9.10.18,20,Eurbia diviricata,L,A,247,,,,,,,,1,3,5
9.10.18,20,Eurbia diviricata,L,A,248,,,,,,,1,1,2,2
9.10.18,20,Eurbia diviricata,L,A,249,,,,,,,,,,
9.10.18,20,Eurbia diviricata,H,A,250,,,1,1,1,3,3,4,4,5
9.10.18,20,Eurbia diviricata,H,A,251,,,,,,,1,1,1,2
9.10.18,20,Eurbia diviricata,H,A,252,,,,,,,,2,2,2
9.10.18,20,Hesperis matronalis,L,A,301,9,14,14,14,14,14,15,15,15,15
9.10.18,20,Hesperis matronalis,L,A,302,16,19,19,19,19,19,19,19,19,19
9.10.18,20,Hesperis matronalis,L,A,303,14,15,15,15,15,15,15,15,15,15
9.10.18,20,Hesperis matronalis,H,A,304,15,20,20,20,20,20,20,20,20,20
9.10.18,20,Hesperis matronalis,H,A,305,18,20,20,20,20,20,20,20,20,20
9.10.18,20,Hesperis matronalis,H,A,306,18,20,20,20,20,20,20,20,20,20
9.10.18,20,Polygonum virginiatum,L,A,379,,,,,,,,,,
9.10.18,20,Polygonum virginiatum,L,A,380,,,,,,,,,,
9.10.18,20,Polygonum virginiatum,L,A,381,,,,,,,,,,
9.10.18,20,Polygonum virginiatum,H,A,382,,,,,,,,,,
9.10.18,20,Polygonum virginiatum,H,A,383,,,,,,,,,,
9.10.18,20,Polygonum virginiatum,H,A,384,,,,,,,,,,
9.10.18,20,Carex grisea,L,A,427,,,,,,,,,,
9.10.18,20,Carex grisea,L,A,428,,,,,,,,,,
9.10.18,20,Carex grisea,H,A,429,,,,,,,,1,1,1
9.10.18,20,Carex grisea,H,A,430,,,,,,,,,,1
9.10.18,20,Silene vulgaris,L,A,466,2,8,11,15,15,15,15,16,16,16
9.10.18,20,Silene vulgaris,L,A,467,1,5,9,9,9,11,11,11,11,11
9.10.18,20,Silene vulgaris,L,A,468,,5,13,14,15,15,15,15,16,16
9.10.18,20,Silene vulgaris,H,A,469,4,8,9,9,9,9,9,9,12,12
9.10.18,20,Silene vulgaris,H,A,470,,10,12,12,12,12,12,12,13,13
9.10.18,20,Silene vulgaris,H,A,471,1,7,12,13,15,15,15,15,15,15
9.10.18,20,Silene stellata,L,A,520,,1,2,3,3,3,3,3,3,3
9.10.18,20,Silene stellata,L,A,521,,1,1,1,1,2,3,3,3,3
9.10.18,20,Silene stellata,L,A,522,,2,2,2,3,3,3,3,4,4
9.10.18,20,Silene stellata,H,A,523,1,1,2,2,2,2,2,2,2,2
9.10.18,20,Silene stellata,H,A,524,1,1,1,1,1,1,1,1,1,1
