zero_day,tot_seed,TAXA,INC,COLD,plate_num,9/26/18,9/28/18,9/30/18,10/3/18,10/5/18,10/7/18,10/8/18,10/10/18,10/12/18
9/24/18,20,Oenethera biennis,L,B,91,,3,7,7,7,7,7,8,8
9/24/18,20,Oenethera biennis,L,B,92,,8,14,14,14,14,14,14,14
9/24/18,20,Oenethera biennis,L,B,93,,4,12,13,13,15,15,15,15
9/24/18,20,Oenethera biennis,H,B,94,3,9,10,10,10,10,10,10,10
9/24/18,20,Oenethera biennis,H,B,95,2,8,9,9,9,9,8,8,8
9/24/18,20,Oenethera biennis,H,B,96,4,10,10,11,11,11,11,11,12
9/24/18,20,Asclepias syriaca,L,B,139,,,5,11,13,14,16,16,16
9/24/18,20,Asclepias syriaca,L,B,140,,,8,15,18,18,18,18,18
9/24/18,20,Asclepias syriaca,L,B,141,,,7,17,18,19,20,20,20
9/24/18,20,Asclepias syriaca,H,B,142,,7,16,18,18,18,19,19,19
9/24/18,20,Asclepias syriaca,H,B,143,,2,14,17,17,17,17,17,17
9/24/18,20,Asclepias syriaca,H,B,144,,2,10,18,19,19,20,20,20
9/24/18,20,Cryptotaenia canadensis,L,B,187,,,,15,18,18,19,19,19
9/24/18,20,Cryptotaenia canadensis,L,B,188,,,,,4,4,6,6,6
9/24/18,20,Cryptotaenia canadensis,L,B,189,,,2,2,6,8,8,9,10
9/24/18,20,Cryptotaenia canadensis,H,B,190,,,3,3,3,3,3,3,3
9/24/18,20,Cryptotaenia canadensis,H,B,191,,,3,4,5,5,5,6,6
9/24/18,20,Cryptotaenia canadensis,H,B,192,,,,,1,1,1,1,2
9/24/18,20,Eurbia diviricata,L,B,253,,,,3,4,4,4,6,6
9/24/18,20,Eurbia diviricata,L,B,254,,,,1,3,4,4,4,4
9/24/18,20,Eurbia diviricata,L,B,255,,,2,3,5,5,6,7,7
9/24/18,20,Eurbia diviricata,H,B,256,,,,1,1,1,2,2,4
9/24/18,20,Eurbia diviricata,H,B,257,,,,2,3,4,7,7,7
9/24/18,20,Eurbia diviricata,H,B,258,,,1,1,2,5,6,6,6
9/24/18,20,Hesperis matronalis,L,B,307,11,17,17,17,17,18,18,18,18
9/24/18,20,Hesperis matronalis,L,B,308,7,14,14,16,16,17,17,17,17
9/24/18,20,Hesperis matronalis,L,B,309,10,13,13,14,14,14,14,14,14
9/24/18,20,Hesperis matronalis,H,B,310,17,18,18,18,18,19,19,19,19
9/24/18,20,Hesperis matronalis,H,B,311,17,18,18,18,18,19,19,19,19
9/24/18,20,Hesperis matronalis,H,B,312,19,20,20,20,20,20,20,20,20
9/24/18,20,Carex grayi,L,B,355,,,,,,,,,
9/24/18,20,Carex grayi,L,B,356,,,,,,,,,
9/24/18,20,Carex grayi,H,B,357,,,,,,,,,
