zero_day,tot_seed,Taxa,INC,COLD,Plate_num,10/1/18,10/3/18,10/5/18,10/7/18,10/8/18,10/10/18,10/12/18,10/14/18,10/15/18
10/1/18,20,Oenethera biennis,L,C,97,0,,3,11,11,11,11,11,11
10/1/18,20,Oenethera biennis,L,C,98,0,,10,14,14,14,14,14,14
10/1/18,20,Oenethera biennis,L,C,99,0,1,13,16,16,16,16,16,16
10/1/18,20,Oenethera biennis,H,C,100,0,6,10,11,11,11,11,11,11
10/1/18,20,Oenethera biennis,H,C,101,0,6,14,14,14,14,14,14,14
10/1/18,20,Oenethera biennis,H,C,102,0,8,13,13,13,13,13,13,13
10/1/18,20,Asclepias syriaca,L,C,145,0,,,3,5,10,13,14,15
10/1/18,20,Asclepias syriaca,L,C,146,0,,,4,11,13,13,14,17
10/1/18,20,Asclepias syriaca,L,C,147,0,,,3,12,14,15,16,16
10/1/18,20,Asclepias syriaca,H,C,148,0,1,11,12,15,16,16,16,16
10/1/18,20,Asclepias syriaca,H,C,149,0,4,16,20,20,20,20,20,20
10/1/18,20,Asclepias syriaca,H,C,150,0,2,13,17,19,19,20,20,20
10/1/18,20,Cryptotaenia canadensis,L,C,193,0,,,5,7,12,14,15,15
10/1/18,20,Cryptotaenia canadensis,L,C,194,0,,,5,10,15,15,16,16
10/1/18,20,Cryptotaenia canadensis,L,C,195,0,,1,9,14,21,20,20,20
10/1/18,20,Cryptotaenia canadensis,H,C,196,0,,,,,2,2,3,3
10/1/18,20,Cryptotaenia canadensis,H,C,197,0,1,1,1,1,1,1,1,1
10/1/18,20,Cryptotaenia canadensis,H,C,198,0,,,,,,,1,1
10/1/18,20,Eurbia diviricata,L,C,259,0,,,,,2,2,2,2
10/1/18,20,Eurbia diviricata,L,C,260,0,,,,,2,5,5,5
10/1/18,20,Eurbia diviricata,L,C,261,0,,,,1,3,6,6,6
10/1/18,20,Eurbia diviricata,H,C,262,0,,1,2,2,2,3,7,7
10/1/18,20,Eurbia diviricata,H,C,263,0,,,,,1,3,3,4
10/1/18,20,Eurbia diviricata,H,C,264,0,,,,,,1,1,1
10/1/18,20,Hesperis matronalis,L,C,313,0,19,20,20,20,20,20,20,20
10/1/18,20,Hesperis matronalis,L,C,314,0,14,15,16,16,16,16,16,16
10/1/18,20,Hesperis matronalis,L,C,315,0,14,17,17,17,17,17,17,17
10/1/18,20,Hesperis matronalis,H,C,316,0,17,18,18,18,19,20,20,20
10/1/18,20,Hesperis matronalis,H,C,317,0,19,20,20,20,20,20,20,20
10/1/18,20,Hesperis matronalis,H,C,318,0,20,20,20,20,20,20,20,20
10/1/18,20,Polygonum virginiatum,L,C,391,0,,,,,,,2,2
10/1/18,20,Polygonum virginiatum,L,C,392,0,,,,1,2,2,3,4
10/1/18,20,Polygonum virginiatum,L,C,393,0,,,,,,,2,3
10/1/18,20,Polygonum virginiatum,H,C,394,0,,,,,,,,
10/1/18,20,Polygonum virginiatum,H,C,395,0,,,,,,2,3,4
10/1/18,20,Polygonum virginiatum,H,C,396,0,,,,,,,,
10/1/18,20,Carex grisea,L,C,435,0,,,,,,,,
10/1/18,20,Carex grisea,L,C,436,0,,,,,,,,
10/1/18,20,Carex grisea,H,C,437,0,,,,,,,,
10/1/18,20,Carex grisea,H,C,438,0,,,,,,,,
10/1/18,20,Silene vulgaris,L,C,478,0,2,10,13,15,15,15,16,16
10/1/18,20,Silene vulgaris,L,C,479,0,,5,10,11,16,17,17,18
10/1/18,20,Silene vulgaris,L,C,480,0,,4,16,17,17,18,18,18
10/1/18,20,Silene vulgaris,H,C,481,0,2,15,16,18,18,18,18,18
10/1/18,20,Silene vulgaris,H,C,482,0,1,15,16,17,17,17,17,17
10/1/18,20,Silene vulgaris,H,C,483,0,1,13,16,16,16,17,17,17
10/1/18,20,Silene stellata,L,C,532,0,1,1,2,5,6,6,6,6
10/1/18,20,Silene stellata,L,C,533,0,1,1,2,2,4,5,6,6
10/1/18,20,Silene stellata,L,C,534,0,,,7,7,7,7,7,7
10/1/18,20,Silene stellata,H,C,535,0,3,4,5,5,5,5,5,5
10/1/18,20,Silene stellata,H,C,536,0,2,3,3,3,3,3,3,3
10/1/18,20,Silene stellata,H,C,537,0,,2,2,2,2,2,2,2
10/1/18,20,Anemone virginana,L,C,586,0,,,,,,,2,3
10/1/18,20,Anemone virginana,L,C,587,0,,,,,,3,4,5
10/1/18,20,Anemone virginana,L,C,588,0,,,,,1,2,4,7
10/1/18,20,Anemone virginana,H,C,589,0,,,,,1,5,6,7
10/1/18,20,Anemone virginana,H,C,590,0,,,,,2,3,6,7
10/1/18,20,Anemone virginana,H,C,591,0,,,,1,2,4,6,9
10/1/18,20,Thalictrum dioicum,L,C,640,0,,,,,,,1,1
10/1/18,20,Thalictrum dioicum,L,C,641,0,,,,,,,,3
10/1/18,20,Thalictrum dioicum,L,C,642,0,,,,,,,,
10/1/18,20,Thalictrum dioicum,H,C,643,0,,,,,,1,1,1
10/1/18,15,Thalictrum dioicum,H,C,644,0,,,,,,,1,3
10/1/18,15,Thalictrum dioicum,H,C,645,0,,,,,,,1,1
10/1/18,10,Impatiens capensis,L,C,684,0,,,,,,,,
10/1/18,10,Impatiens capensis,L,C,685,0,,,,,,,,
10/1/18,10,Impatiens capensis,H,C,686,0,,,,,,,,
10/1/18,10,Impatiens capensis,H,C,687,0,,,,,,,,
10/1/18,15,Phlox cuspidata,H,C,722,0,8,8,8,8,8,8,8,8
10/1/18,15,Phlox cuspidata,H,C,723,0,7,7,7,7,7,7,7,7
10/1/18,15,Phlox cuspidata,L,C,720,0,11,11,11,11,11,11,11,11
10/1/18,15,Phlox cuspidata,L,C,721,0,8,8,8,8,9,9,9,9
