zero_day,tot_seed,Taxa,INC,COLD,Plate_num,10/15/18,10/17/18,10/19/18,10/21/18,10/22/18,10/24/18,10/26/18,10/28/18,10/29/18,10/31/18,11/2/18,11/4/18,11/5/18,11/7/18,11/9/18,viable,chill_germ,mold,adj_total
10/15/18,20,Oenethera biennis,H,E,109,0,11,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,
10/15/18,20,Oenethera biennis,H,E,110,0,5,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,
10/15/18,20,Oenethera biennis,H,E,111,0,6,13,13,13,13,13,13,13,13,13,13,13,13,13,,,,
10/15/18,20,Oenethera biennis,L,E,112,0,,3,9,10,10,10,10,11,12,12,12,12,12,12,,,,
10/15/18,20,Oenethera biennis,L,E,113,0,,15,16,16,16,16,16,16,16,16,16,16,16,16,,,,
10/15/18,20,Oenethera biennis,L,E,114,0,,11,14,14,14,14,14,14,14,14,14,14,14,14,,,,
10/15/18,20,Asclepias syriaca,H,E,157,0,2,17,18,18,18,18,18,18,18,18,18,18,18,18,,,,
10/15/18,20,Asclepias syriaca,H,E,158,0,1,15,19,19,19,19,19,19,19,20,20,20,20,20,,,,
10/15/18,20,Asclepias syriaca,H,E,159,0,4,12,18,20,20,20,20,20,20,20,20,20,20,20,,,,
10/15/18,20,Asclepias syriaca,L,E,160,0,,2,12,13,18,18,18,18,19,19,19,19,19,19,,,,
10/15/18,20,Asclepias syriaca,L,E,161,0,,,9,11,14,17,17,18,18,18,18,18,18,18,,,,
10/15/18,20,Asclepias syriaca,L,E,162,0,,,6,9,14,17,18,18,18,19,19,19,19,19,,,,
10/15/18,20,Cryptotaenia canadensis,H,E,205,0,1,1,10,12,12,12,12,12,12,12,12,12,12,12,,,,
10/15/18,20,Cryptotaenia canadensis,H,E,206,0,2,2,10,10,11,12,12,12,12,12,12,12,12,12,,,,
10/15/18,20,Cryptotaenia canadensis,H,E,207,0,1,2,11,12,12,12,12,12,12,12,12,12,12,12,,,,
10/15/18,20,Cryptotaenia canadensis,L,E,208,0,1,1,14,17,18,18,18,18,18,18,18,18,18,18,,,,
10/15/18,20,Cryptotaenia canadensis,L,E,209,0,,1,16,16,19,20,20,20,20,20,20,20,20,20,,,,
10/15/18,20,Cryptotaenia canadensis,L,E,210,0,,,19,19,20,20,20,20,20,20,20,20,20,20,,,,
10/15/18,20,Eurbia diviricata,H,E,271,0,,4,8,9,12,12,12,12,12,12,12,12,12,12,,,,
10/15/18,20,Eurbia diviricata,H,E,272,0,1,2,6,7,8,8,8,8,8,8,8,8,8,8,,,,
10/15/18,20,Eurbia diviricata,H,E,273,0,,7,10,11,13,15,15,15,15,15,15,15,15,15,,,,
10/15/18,20,Eurbia diviricata,L,E,274,0,,,1,5,10,12,12,13,13,14,14,15,15,15,,,,
10/15/18,20,Eurbia diviricata,L,E,275,0,,,2,5,9,11,11,12,13,13,13,13,13,13,,,,
10/15/18,20,Eurbia diviricata,L,E,276,0,,1,2,4,9,9,10,10,10,10,11,11,11,11,,,,
10/15/18,20,Hesperis matronalis,H,E,325,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,,,
10/15/18,20,Hesperis matronalis,H,E,326,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,,,
10/15/18,20,Hesperis matronalis,H,E,327,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,,,
10/15/18,20,Hesperis matronalis,L,E,328,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,
10/15/18,20,Hesperis matronalis,L,E,329,0,16,16,17,17,17,18,18,18,18,18,18,18,18,18,,2,,
10/15/18,20,Hesperis matronalis,L,E,330,0,17,19,19,19,19,19,19,19,19,19,19,19,19,19,,2,,
10/15/18,20,Carex grayi,H,E,363,0,,,,,,,,,,1,2,2,2,4,,,,
10/15/18,20,Carex grayi,H,E,364,0,,,,,,,1,1,3,5,7,7,7,8,,,,
10/15/18,20,Carex grayi,L,E,365,0,,,,,,,,,,,,,,2,,,,
10/15/18,20,Carex grayi,L,E,366,0,,,,,,,,,,,,,,1,,,,
10/15/18,20,Polygonum virginiatum,H,E,403,0,,1,3,3,3,5,6,6,7,7,7,8,8,8,,,,
10/15/18,20,Polygonum virginiatum,H,E,404,0,,3,4,4,6,9,11,11,11,13,13,13,14,14,,,,
10/15/18,20,Polygonum virginiatum,H,E,405,0,,2,3,8,8,10,11,11,13,14,16,16,17,17,,,,
10/15/18,20,Polygonum virginiatum,L,E,406,0,,1,3,3,7,12,13,13,13,15,15,15,16,16,,,,
10/15/18,20,Polygonum virginiatum,L,E,407,0,,,2,8,11,12,17,17,17,17,17,17,17,17,,,,
10/15/18,20,Polygonum virginiatum,L,E,408,0,,2,5,6,11,12,15,15,15,15,15,15,16,16,,,,
10/15/18,20,Carex grisea,H,E,443,0,,,,,,,,,,,,,,,,,,
10/15/18,20,Carex grisea,H,E,444,0,,,,,,,,,,,,,,,,,,
10/15/18,20,Carex grisea,L,E,445,0,,,,,,,,,,,,,,,,,,
10/15/18,20,Carex grisea,L,E,446,0,,,,,,,,,,,,,,,,,,
10/15/18,20,Silene vulgaris,H,E,490,0,,13,16,17,19,19,20,20,20,20,20,20,20,20,,1,,
10/15/18,20,Silene vulgaris,H,E,491,0,1,13,15,15,15,15,15,15,15,15,15,15,15,16,,1,,
10/15/18,20,Silene vulgaris,H,E,492,0,,10,12,12,12,12,12,12,12,12,12,12,12,12,,,,
10/15/18,20,Silene vulgaris,L,E,493,0,,10,16,17,18,18,18,18,18,18,18,18,18,18,,1,,
10/15/18,20,Silene vulgaris,L,E,494,0,,5,14,16,16,17,17,17,17,17,17,17,17,17,,,,
10/15/18,20,Silene vulgaris,L,E,495,0,,14,17,20,20,20,21,21,21,21,21,21,21,21,,,,
10/15/18,20,Silene stellata,H,E,544,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10/15/18,20,Silene stellata,H,E,545,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,
10/15/18,20,Silene stellata,H,E,546,0,,,,,1,1,1,1,1,1,1,1,1,1,,,,
10/15/18,20,Silene stellata,L,E,547,0,2,6,6,6,6,7,7,7,7,7,7,7,7,7,,,,
10/15/18,20,Silene stellata,L,E,548,0,1,7,13,13,15,15,15,15,16,16,16,16,16,16,,,,
10/15/18,20,Silene stellata,L,E,549,0,,4,8,8,9,9,10,10,10,10,10,10,10,10,,,,
10/15/18,20,Anemone virginana,H,E,598,0,,,,,1,5,8,9,12,16,18,18,18,18,,,,
10/15/18,20,Anemone virginana,H,E,599,0,,,1,1,2,5,7,8,9,12,16,16,16,16,,,,
10/15/18,20,Anemone virginana,H,E,600,0,,,,2,6,9,10,12,16,20,20,20,20,20,,,,
10/15/18,20,Anemone virginana,L,E,601,0,,,,,1,1,3,7,12,18,19,20,20,20,,,,
10/15/18,20,Anemone virginana,L,E,602,0,,,,,,1,7,9,10,17,20,21,21,21,,,,
10/15/18,20,Anemone virginana,L,E,603,0,,,,,2,3,4,8,10,15,17,17,18,18,,,,
10/15/18,15,Thalictrum dioicum,H,E,652,0,,1,1,1,2,2,2,2,2,2,3,3,3,3,,,,
10/15/18,15,Thalictrum dioicum,H,E,653,0,,,,,,1,1,1,3,3,3,3,3,3,,,,
10/15/18,15,Thalictrum dioicum,H,E,654,0,,,,,,,1,1,1,1,1,1,1,2,,,,
10/15/18,15,Thalictrum dioicum,L,E,655,0,,,,,1,2,3,3,3,3,5,6,6,6,,,,
10/15/18,15,Thalictrum dioicum,L,E,656,0,,,,1,1,2,3,4,4,4,7,7,7,7,,,,
10/15/18,15,Thalictrum dioicum,L,E,657,0,,,,1,2,2,2,3,3,3,3,3,4,4,,,,
10/15/18,10,Impatiens capensis,H,E,692,0,,,,,,,,,,,,,,,,,,
10/15/18,10,Impatiens capensis,H,E,693,0,,,,,,,,,,,,,,,,,,
10/15/18,10,Impatiens capensis,L,E,694,0,,,,,,,,,,,,,,,,,,
10/15/18,10,Impatiens capensis,L,E,695,0,,,,,,,,,,,,,,,,,,
10/15/18,15,Phlox cuspidata,H,E,728,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,9,,
10/15/18,15,Phlox cuspidata,H,E,729,0,,,,,,,,,,,,,,,,10,,
10/15/18,15,Phlox cuspidata,L,E,730,0,,,,,,,,,,,,,,,,7,,
10/15/18,15,Phlox cuspidata,L,E,731,0,,,,,,,,,,,,,,,,10,,
