zero_day,tot_seed,Taxa,INC,COLD,Plate_num,10/29/18,10/31/18,11/2/18,11/4/18,11/5/18,11/7/18,viable,chill_germ,mold,adj_total
,,Oenethera biennis,H,G,121,0,6,12,12,12,12,,,,
,,Oenethera biennis,H,G,122,0,4,11,11,11,11,,,,
,,Oenethera biennis,H,G,123,0,10,19,19,19,19,,,,
,,Oenethera biennis,L,G,124,0,,9,11,11,11,,,,
,,Oenethera biennis,L,G,125,0,,15,18,18,18,,,,
,,Oenethera biennis,L,G,126,0,1,15,15,15,15,,,,
,,Asclepias syriaca,H,G,169,0,,10,19,19,21,,,,
,,Asclepias syriaca,H,G,170,0,,11,18,18,19,,,,
,,Asclepias syriaca,H,G,171,0,1,9,17,19,19,,,,
,,Asclepias syriaca,L,G,172,0,,1,6,13,18,,,,
,,Asclepias syriaca,L,G,173,0,,,10,15,18,,,,
,,Asclepias syriaca,L,G,174,0,,,5,11,15,,,,
,,Cryptotaenia canadensis,H,G,217,0,,7,12,13,14,,,,
,,Cryptotaenia canadensis,H,G,218,0,,4,7,7,8,,2,,
,,Cryptotaenia canadensis,H,G,219,0,,3,7,11,12,,,,
,,Cryptotaenia canadensis,L,G,220,0,,3,16,20,20,,,,
,,Cryptotaenia canadensis,L,G,221,0,,2,10,17,19,,,,
,,Cryptotaenia canadensis,L,G,222,0,1,4,14,20,20,,1,,
,,Eurbia diviricata,H,G,283,0,1,2,6,6,6,,,,
,,Eurbia diviricata,H,G,284,0,3,5,7,9,10,,,,
,,Eurbia diviricata,H,G,286,0,,3,8,9,9,,,,
,,Eurbia diviricata,L,G,285,0,1,3,6,9,9,,,,
,,Eurbia diviricata,L,G,287,0,2,5,7,7,10,,,,
,,Eurbia diviricata,L,G,288,0,,7,12,12,14,,,,
,,Hesperis matronalis,H,G,337,0,17,17,17,17,17,,4,,
,,Hesperis matronalis,H,G,338,0,17,17,17,17,17,,2,,
,,Hesperis matronalis,H,G,339,0,17,18,18,18,18,,3,,
,,Hesperis matronalis,L,G,340,0,15,15,15,15,15,,2,,
,,Hesperis matronalis,L,G,341,0,17,17,17,17,17,,2,,
,,Hesperis matronalis,L,G,342,0,18,18,18,18,18,,2,,
,,Polygonum virginiatum,H,G,410,0,3,6,7,8,13,,,,
,,Polygonum virginiatum,H,G,411,0,4,8,9,12,14,,,,
,,Polygonum virginiatum,L,G,412,0,,6,8,9,13,,,,
,,Polygonum virginiatum,L,G,413,0,1,7,10,12,13,,,,
,,Polygonum virginiatum,L,G,414,0,3,5,11,12,12,,,,
,,Carex grisea,H,G,451,0,,,,,,,,,
,,Carex grisea,H,G,452,0,,,,,,,,,
,,Carex grisea,L,G,453,0,,,,,,,,,
,,Carex grisea,L,G,454,0,,,,,,,,,
,,Silene vulgaris,H,G,502,0,1,13,15,15,16,,,,
,,Silene vulgaris,H,G,503,0,,10,12,13,13,,,,
,,Silene vulgaris,H,G,504,0,5,17,19,19,19,,1,,
,,Silene vulgaris,L,G,505,0,,10,14,15,16,,,,
,,Silene vulgaris,L,G,506,0,,9,13,14,15,,,,
,,Silene vulgaris,L,G,507,0,,9,14,17,18,,2,,
,,Silene stellata,H,G,556,0,,1,2,2,2,,,,
,,Silene stellata,H,G,557,0,,,1,1,1,,,,
,,Silene stellata,H,G,558,0,,1,2,2,2,,,,
,,Silene stellata,L,G,559,0,1,2,7,9,9,,,,
,,Silene stellata,L,G,560,0,1,4,6,6,8,,,,
,,Silene stellata,L,G,561,0,1,4,8,9,9,,,,
,,Anemone virginana,H,G,610,0,,,1,3,5,,,,
,,Anemone virginana,H,G,611,0,,,,,3,,,,
,,Anemone virginana,H,G,612,0,,1,1,1,3,,,,
,,Anemone virginana,L,G,613,0,,,,,,,,,
,,Anemone virginana,L,G,614,0,,,2,3,3,,,,
,,Anemone virginana,L,G,615,0,,,1,1,1,,,,
,,Thalictrum dioicum,H,G,664,0,,,,,2,,,,
,,Thalictrum dioicum,H,G,665,0,,,1,1,1,,,,
,,Thalictrum dioicum,H,G,666,0,,,,,,,,,
,,Thalictrum dioicum,L,G,667,0,,,,,,,,,
,,Thalictrum dioicum,L,G,668,0,,,,,,,,,
,,Thalictrum dioicum,L,G,669,0,,,,2,2,,,,
,,Impatiens capensis,H,G,700,0,,,,,,,,,
,,Impatiens capensis,H,G,701,0,,,,,,,,,
,,Impatiens capensis,L,G,702,0,,,,,,,,,
,,Impatiens capensis,L,G,703,0,,,,,,,,,
,,Phlox cuspidata,H,G,736,0,,,,,,,11,,
,,Phlox cuspidata,H,G,737,0,,,,1,1,,6,,
,,Phlox cuspidata,H,G,738,0,,,,,,,12,,
,,Phlox cuspidata,L,G,739,0,,,,,,,10,,
