zero_day,tot_seed,TAXA,INC,COLD,plate_num,8.28.18,8.29.18,8.30.18,8.31.18,9.3.18,9.5.18,9.7.18,9.9.18,9.12.18,9.14.18,9.16.18,9/17/18,8/18/18,9/20/18,9/21/18
8.27.18,20,Oenethera biennis,H,0,1,,,6,8,13,14,15,15,15,15,15,15,15,15,15
8.27.18,20,Oenethera biennis,H,0,2,,,10,13,15,15,15,15,15,15,15,15,15,15,15
8.27.18,20,Oenethera biennis,H,0,3,,,10,12,15,17,17,17,17,17,17,17,17,17,17
8.27.18,20,Oenethera biennis,L,0,4,,,,,9,10,10,10,12,12,12,11,11,11,11
8.27.18,20,Oenethera biennis,L,0,5,,,,1,4,4,4,4,4,4,4,4,4,4,4
8.27.18,20,Oenethera biennis,L,0,6,,,,,10,11,11,11,11,11,11,11,11,11,11
8.27.18,20,Cryptotaenia canadensis,H,0,7,,,,,,,,,,,,,,,
8.27.18,20,Cryptotaenia canadensis,H,0,8,,,,,,,,,,,,,,,
8.27.18,20,Cryptotaenia canadensis,H,0,9,,,,,,,1,1,3,4,4,4,4,4,4
8.27.18,20,Cryptotaenia canadensis,L,0,10,,,,,,,,,,,,,,,
8.27.18,20,Cryptotaenia canadensis,L,0,11,,,,,,,,,,,,,,,
8.27.18,20,Cryptotaenia canadensis,L,0,12,,,,,,,,,,,,,,,
8.27.18,20,Hesperis matronalis,H,0,13,2,7,16,16,16,16,16,16,16,16,16,16,16,16,16
8.27.18,20,Hesperis matronalis,H,0,14,2,5,14,14,14,14,15,15,15,15,15,15,15,15,15
8.27.18,20,Hesperis matronalis,H,0,15,3,6,11,11,15,16,16,16,16,16,16,16,16,16,16
8.27.18,20,Hesperis matronalis,L,0,16,1,3,6,10,12,12,12,12,12,12,12,12,12,12,12
8.27.18,20,Hesperis matronalis,L,0,17,1,3,7,12,15,15,15,16,16,16,17,17,17,17,17
8.27.18,20,Hesperis matronalis,L,0,18,1,2,11,11,14,15,15,15,16,16,16,16,16,16,16
8.27.18,20,Polygonum virginiatum,H,0,19,,,,,,,,,,,,,,,
8.27.18,20,Polygonum virginiatum,H,0,20,,,,,,,,,,,,,,,
8.27.18,20,Polygonum virginiatum,H,0,21,,,,,,,,,,,,,,,
8.27.18,20,Polygonum virginiatum,L,0,22,,,,,,,,,,,,,,,
8.27.18,20,Polygonum virginiatum,L,0,23,,,,,,,,,,,,,,,
8.27.18,20,Polygonum virginiatum,L,0,24,,,,,,,,,,,,,,,
8.27.18,20,Asclepias syriaca,H,0,25,,,,,2,5,12,13,13,13,13,13,13,14,14
8.27.18,20,Asclepias syriaca,H,0,26,,,1,1,3,3,4,4,4,4,4,4,4,5,5
8.27.18,20,Asclepias syriaca,H,0,27,,,,,4,8,10,11,12,12,12,12,15,15,15
8.27.18,20,Asclepias syriaca,L,0,28,,,,,,1,1,1,6,8,8,8,8,8,8
8.27.18,20,Asclepias syriaca,L,0,29,,,,,1,4,4,5,5,6,6,6,6,6,6
8.27.18,20,Asclepias syriaca,L,0,30,,,,,,,1,1,1,1,3,3,3,4,4
8.27.18,20,Carex grayi,H,0,31,,,,,,,,,,,,,,,
8.27.18,20,Carex grayi,H,0,32,,,,,,,,,,,,,,1,1
8.27.18,20,Carex grayi,H,0,33,,,,,,,,,1,1,1,1,1,1,1
8.27.18,20,Carex grayi,L,0,34,,,,,,,,,,,,,,,
8.27.18,20,Carex grayi,L,0,35,,,,,,,,,,,,,,,
8.27.18,20,Carex grayi,L,0,36,,,,,,,,,,,,,,,
8.27.18,20,Carex grisea,H,0,37,,,,,,,,,,,,,,,
8.27.18,20,Carex grisea,H,0,38,,,,,,,,,,,,,,,
8.27.18,20,Carex grisea,H,0,39,,,,,,,,,,,,,,,
8.27.18,20,Carex grisea,L,0,40,,,,,,,,,,,,,,,
8.27.18,20,Carex grisea,L,0,41,,,,,,,,,,,,,,,
8.27.18,20,Carex grisea,L,0,42,,,,,,,,,,,,,,,
8.27.18,10,Phlox cuspidata,H,0,43,,,,,,,,,,,,,1,1,1
8.27.18,10,Phlox cuspidata,H,0,44,,,,,,,,,,,,,,,
8.27.18,10,Phlox cuspidata,H,0,45,,,,,,,,,,,,,,,
8.27.18,10,Phlox cuspidata,L,0,46,,,,,,,,,,,,,,,
8.27.18,10,Phlox cuspidata,L,0,47,,,,,,,1,1,1,1,1,1,2,2,2
8.27.18,10,Phlox cuspidata,L,0,48,,,,,,,,,,,,,,,
8.27.18,20,Silene stellata,H,0,49,,,,1,2,2,2,3,3,3,3,3,3,3,3
8.27.18,20,Silene stellata,H,0,50,,,,,,1,1,1,1,1,2,2,2,2,2
8.27.18,20,Silene stellata,H,0,51,,,,,1,1,1,1,1,1,2,2,2,2,2
8.27.18,20,Silene stellata,L,0,52,,,,,,,,,,,,2,2,2,2
8.27.18,20,Silene stellata,L,0,53,,,1,1,1,1,1,1,2,2,2,2,2,2,2
8.27.18,20,Silene stellata,L,0,54,,,,,2,2,2,2,2,2,2,2,2,3,3
8.27.18,20,Silene vulgaris,H,0,55,,,,,3,4,5,5,5,6,8,8,8,8,8
8.27.18,20,Silene vulgaris,H,0,56,,,,,3,7,9,9,11,12,13,13,13,13,13
8.27.18,20,Silene vulgaris,H,0,57,,1,1,1,4,4,6,7,8,8,8,8,8,9,9
8.27.18,20,Silene vulgaris,L,0,58,,,,,8,13,14,14,14,14,14,14,14,14,14
8.27.18,20,Silene vulgaris,L,0,59,,,,2,10,15,18,20,20,20,20,20,20,20,20
